hotkey,uid,is_validator,tv,age_blocks,blocks_since_update,invocation_count,compute_seconds,chute_diversity,avg_tps,avg_ttft,pass_rate,seconds_per_invocation,efficiency_tier,invocation_share,compute_share,weight_share,emission_share,dividends_share,stake_pct,emission_trend,invocation_trend,quality_score,delta_inv_emit,delta_inv_weight,delta_quality_weight,delta_quality_emit
5H3UYKupFLedAf2bWmpmMFAcpKRu6H1pXDubdHxnHC16Pag7,197,False,0.0,269095,3091925,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5GRbxcRk3x7DqTsyi9ucGVsF43hrSLM7CXmiSWjr7UeKCdXc,159,True,0.9632715582847595,608228,67,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.03085656794511284,0.03298694330532949,,,0.0,0.0,0.0,0.0,0.0
5ECXpaSqtxriV8UqRWTpc9H73ZootcDNP2HvAArrGjcc47dq,167,False,0.0,51288,3134673,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5EcWvNEwSSMxK29e1Rz2CbtJHPWLXM4jdL9HKBDx9dTH3om1,178,False,0.0,462169,3130675,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5HKEt93ZzuA6Kq8Ss9jxM1uxf1U6tp1aF1Sk7B8z5MDECQc8,238,False,0.0,125327,3073071,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5Cu5vCLqct58ZugWfgfW88LZcQ11sgzYkKjyALFAbxzsjqgy,133,False,0.0,363793,3171714,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5ED8ahWxXn6NTZ2Ys3TZ8Ej7SuoWMj9y7fHsuqLjJsjTvJv6,184,False,0.0,181860,3129431,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5Gga5pgiWheibnvJfNzxpnmt9HNeqjDaUoz8Fk2bePATRFEG,155,False,0.0,162597,3141280,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5FXE4pTFx8nQn5M22xH9FFM93ZnKNCdnNxC6n2F2g4RoHgJK,248,False,0.0,220047,3071992,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5FEqkBXYvYxWA4yvGBMPuAcXA8Egj44KbtQkyzFRRMe3zir5,145,False,0.0,441757,3170270,344176,2453037.68,10,15.430431046066749,3.929193110040579,,7.12727697457115,SLOW,0.010304670658682635,0.011972002226780076,0.021378701510930027,0.02181146665603204,0.0,0.00023952907803291904,,,0.008623591736948336,0.011506795997349405,0.011074030852247393,0.012755109773981692,0.013187874919083704
5HbQpEgwCLiEGJyKjsgRN812yuVdDa5QCQ4yTaT86WWmj9mb,4,False,0.0,210386,3430716,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5Eyg6h4jfRbp3zbZRakMrVzy59DSRAJV6dBmFnMQ5QK4TTfd,78,False,0.0,469023,3249425,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5HjJF6zWzggE7DjkR2vY3jgk8W3En6h2DzRnNS5T1A76MTv3,245,False,0.0,215501,3072353,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5CYAKnDyqToTANGVbghrrWHoH4Cxtft1XcYoKjT5SxYfbXTF,137,False,0.0,273032,3171350,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5HRBa18KUVcPJLvoAPCGZE1DwrjyVFjtd3KWXARhYAp1xGSv,92,False,0.0,27538,3210598,1317,505.52,2,0.0,0.0,,0.38384206529992404,MID,3.9431137724550896e-05,2.4671804330709927e-06,0.00016491174073197986,0.00016789791849595027,0.0,3.258617876033027e-07,,,0.0036826788862509507,0.00012846678077139937,0.00012548060300742895,-0.0035177671455189708,-0.0035147809677550006
5FTTmFS2itGuCbXf9ZWtDn8sA7E4fD1BQ1k9hWg7ZBK9m5vr,175,False,0.0,283851,3131590,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5GNNnMKcvJWGcc2hzbhvXmWxNDLo6gFsZVeQiRhzMxq5hjpZ,129,False,0.0,60929,3172075,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5CdUej7yMEpyktRP9ZMsPg3gc87GTBPDCK74hQ5poTHPMif3,255,False,0.0,469036,3071263,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5EfJvLMWQeCeCvqr2s4UwYEGc2Q9mbJwaYNVpPbxbyh64eFf,136,False,0.0,48725,3171353,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5G6kS8MfjN1Hcgb5h6VgrNb29XYGsvBPbK38XkgC8VfEir5V,35,True,0.0,5694,3345592,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0006605840325794379,,,0.0,0.0,0.0,0.0,0.0
