uid,hotkey,hotkey_short,name,stake,div,incentive,emission,tv,consensus,take,take_known,is_ghost,staleness_blocks,staleness_hours,stale_flag,your_yield,top1_pct,top3_pct,conc_flag,nominator_count,self_stake_pct,subnet_count
55,5E4z3h9yVhmQyCFWNbY9BPpwhx4xFiPwq3eeqmBgVF6KULde,5E4z3h9y...,,19632.318359375,0.10218966752290726,0.0,0.5686779618263245,0.5142900943756104,0.0,0.0899977111467155,True,False,3320701,11069.003333333334,STALE,1.5202391458364464e-05,0.3999763339399206,0.6099178569493843,MODERATE,232,5.369331581124668e-05,2
9,5CszMVts9ueMUSKdAwLFSLT7u4oyxN7fUBpo8Z3ETw1ggMUV,5CszMVts...,,8596.6484375,0.027710383757948875,0.07138170301914215,0.5514393448829651,0.27582207322120667,0.05426108092069626,0.05999847409781033,True,False,3274187,10913.956666666667,STALE,9.72265395859792e-06,0.3510176894014424,0.7710795001467304,MODERATE,94,2.2527476799854725e-05,1
8,5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,5CVS9d1N...,,17935.93359375,0.04113832488656044,0.05061417445540428,0.5106600522994995,0.6325322389602661,0.036987870931625366,0.0,True,False,3327249,11090.83,STALE,7.361222245406779e-06,0.646255415407922,0.8230864739341613,HIGH,125,0.0010992174303570115,1
15,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,5CsvRJXu...,,183272.921875,0.20885023474693298,0.0,1.162156105041504,0.5075608491897583,0.0,0.0899977111467155,True,False,3274293,10914.31,STALE,3.32871470467184e-06,0.1854560129088058,0.4308726417052493,DISTRIBUTED,896,0.0,59
61,5GP7c3fFazW9GXK8Up3qgu2DJBk8inu4aK9TZy3RuoSWVCMi,5GP7c3fF...,,70118.9375,0.06839093565940857,0.0,0.3805982172489166,0.7504844665527344,0.0,0.0,True,False,3287815,10959.383333333333,STALE,3.1307498599740045e-06,0.32311113424388527,0.5085112069545427,MODERATE,575,0.0,21
20,5DXdHixxtCvoa6GHKs2Jgrdzc61882Ftx1zN2sYFQuwgL1S1,5DXdHixx...,,633857.0,0.41701382398605347,0.0004882887005805969,2.3231751918792725,0.6586251854896545,0.00041199359111487865,0.0899977111467155,True,False,3316124,11053.746666666666,STALE,1.9217835824362117e-06,0.0953845084562988,0.20060044112936976,DISTRIBUTED,931,0.0,1
3,5Gq2gs4ft5dhhjbHabvVbAhjMCV2RgKmVJKAFCUWiirbRT21,5Gq2gs4f...,,295607.90625,0.13336385786533356,0.0,0.7421349287033081,0.548699140548706,0.0,0.0899977111467155,True,False,3274208,10914.026666666667,STALE,1.3178467373143042e-06,0.375144895796542,0.5404279802738393,MODERATE,1687,0.0,1
2,5G3wMP3g3d775hauwmAZioYFVZYnvw6eY46wkFy8hEWD5KP3,5G3wMP3g...,,393598.21875,0.0012664988171309233,0.013977264054119587,0.08495710045099258,0.4112764298915863,0.009292744100093842,0.179995422293431,True,False,3287495,10958.316666666668,STALE,8.469727377585061e-09,0.35110342008106865,0.4607831255980327,MODERATE,5600,0.05012884792909752,1
1,5E2LP6EnZ54m3wS8s1yPvD5c3xo71kQroBw7aUVK32TKeZ5u,5E2LP6En...,,935200.9375,0.0,0.045059893280267715,0.25075897574424744,0.3351033926010132,0.029404135420918465,0.0,True,True,5302214,17674.046666666665,STALE,0.0,0.06483146780614506,0.13024090410303435,DISTRIBUTED,4678,0.001582206708168087,111
54,5Ckaoft1B1CQ9zBV2FLVju4KPuMQzJVn7QUf3JeTvTq1uUes,5Ckaoft1...,,736907.875,0.0,0.0,0.0,0.00013733119703829288,0.0,0.179995422293431,True,True,5053729,16845.763333333332,STALE,0.0,0.2865815619973282,0.7593032111312293,MODERATE,148,0.0,1
6,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GKH9FPP...,,586251.75,0.0,0.016464484855532646,0.09161641448736191,0.5271534323692322,0.014785991981625557,0.0899977111467155,True,True,3287730,10959.1,STALE,0.0,0.09750324701809777,0.22484120549582895,DISTRIBUTED,7958,0.0,1
29,5HmkM6X1D3W3CuCSPuHhrbYyZNBy2aGAiZy9NczoJmtY25H7,5HmkM6X1...,,267831.71875,0.0,0.011490043252706528,0.06394300609827042,0.40570688247680664,0.009292744100093842,0.0899977111467155,True,True,3281541,10938.47,STALE,0.0,0.17614481221975165,0.4458056312214424,DISTRIBUTED,671,2.7989105015258785e-09,21
10,5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,5Dd8gaRN...,,206017.34375,0.0,0.0,0.0,0.48293277621269226,0.0,0.0,True,True,4152219,13840.73,STALE,0.0,0.19922830416557052,0.44447312940140166,DISTRIBUTED,38,0.10072645146376465,1
4,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,5HK5tp6t...,,202076.859375,0.0,0.143541619181633,0.7987699508666992,0.5206988453865051,0.09689478576183319,0.0899977111467155,True,True,3288018,10960.06,STALE,0.0,0.07071885256227914,0.17646746898915278,DISTRIBUTED,3592,0.0,12
57,5G9mJMfD12NxF3oXuTrLuCQHyQeJfMkHKHbPncDnGbTn423v,5G9mJMfD...,,139323.359375,0.0,0.0,0.0,0.048325322568416595,0.0,0.179995422293431,True,True,5361443,17871.476666666666,STALE,0.0,0.9999473013142876,1.0,HIGH,2,0.0,1
5,5FtBncJvGhxjBs4aFn2pid6aur9tBUuo9QR7sHe5DkoRizzo,5FtBncJv...,,94097.0078125,0.0,0.009018082171678543,0.050193626433610916,0.5547112226486206,0.0073853665962815285,0.0899977111467155,True,True,3289744,10965.813333333334,STALE,0.0,0.2032745494942238,0.41343745773254287,DISTRIBUTED,728,0.006261982204214136,1
