uid,hotkey,hotkey_short,name,stake,div,incentive,emission,tv,consensus,take,take_known,is_ghost,staleness_blocks,staleness_hours,stale_flag,your_yield,top1_pct,top3_pct,conc_flag,nominator_count,self_stake_pct,subnet_count
55,5E4z3h9yVhmQyCFWNbY9BPpwhx4xFiPwq3eeqmBgVF6KULde,5E4z3h9y...,,21282.51171875,0.10218966752290726,0.0,0.5686779618263245,0.5142900943756104,0.0,0.0899977111467155,True,False,3258545,10861.816666666668,STALE,0.0004349013463252671,0.36857138314296134,0.6182852472861542,MODERATE,228,4.9488318613109594e-05,2
9,5CszMVts9ueMUSKdAwLFSLT7u4oyxN7fUBpo8Z3ETw1ggMUV,5CszMVts...,,8325.833984375,0.027710383757948875,0.07138170301914215,0.5514393448829651,0.27582207322120667,0.05426108092069626,0.05999847409781033,True,False,3212031,10706.77,STALE,0.00030914213434670866,0.36163878160609564,0.7825149780936248,MODERATE,86,3.8348132975870205e-06,1
8,5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,5CVS9d1N...,,17918.8046875,0.04113832488656044,0.05061417445540428,0.5106600522994995,0.6325322389602661,0.036987870931625366,0.0,True,False,3265093,10883.643333333333,STALE,0.0002283077351690199,0.6464422351230258,0.8229648974965275,HIGH,124,0.0010975170769706789,1
15,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,5CsvRJXu...,,183764.5,0.20885023474693298,0.0,1.162156105041504,0.5075608491897583,0.0,0.0899977111467155,True,False,3212137,10707.123333333333,STALE,0.00010336644194352623,0.1845360062201168,0.42884579829325087,DISTRIBUTED,905,0.0,61
61,5GP7c3fFazW9GXK8Up3qgu2DJBk8inu4aK9TZy3RuoSWVCMi,5GP7c3fF...,,69285.8671875,0.06839093565940857,0.0,0.3805982172489166,0.7504844665527344,0.0,0.0,True,False,3225659,10752.196666666667,STALE,9.856608907776154e-05,0.3262797582420955,0.5134833006400483,MODERATE,559,0.0,22
20,5DXdHixxtCvoa6GHKs2Jgrdzc61882Ftx1zN2sYFQuwgL1S1,5DXdHixx...,,601826.125,0.41701382398605347,0.0004882887005805969,2.3231751918792725,0.6586251854896545,0.00041199359111487865,0.0899977111467155,True,False,3253968,10846.56,STALE,6.304486855604902e-05,0.10039565402494456,0.21096386838834869,DISTRIBUTED,929,0.0,1
3,5Gq2gs4ft5dhhjbHabvVbAhjMCV2RgKmVJKAFCUWiirbRT21,5Gq2gs4f...,,296189.03125,0.13336385786533356,0.0,0.7421349287033081,0.548699140548706,0.0,0.0899977111467155,True,False,3212052,10706.84,STALE,4.096048220069154e-05,0.37797520050189104,0.5426002758960807,MODERATE,1655,0.0,1
2,5G3wMP3g3d775hauwmAZioYFVZYnvw6eY46wkFy8hEWD5KP3,5G3wMP3g...,,395517.8125,0.0012664988171309233,0.013977264054119587,0.08495710045099258,0.4112764298915863,0.009292744100093842,0.179995422293431,True,False,3225339,10751.13,STALE,2.625096228970509e-07,0.3493993654673513,0.45840284574959067,MODERATE,5623,0.04981432089544552,1
1,5E2LP6EnZ54m3wS8s1yPvD5c3xo71kQroBw7aUVK32TKeZ5u,5E2LP6En...,,928547.875,0.0,0.045059893280267715,0.25075897574424744,0.3351033926010132,0.029404135420918465,0.0,True,True,5240058,17466.86,STALE,0.0,0.06519321147023735,0.1309381339357731,DISTRIBUTED,4564,0.0015946609258216558,107
54,5Ckaoft1B1CQ9zBV2FLVju4KPuMQzJVn7QUf3JeTvTq1uUes,5Ckaoft1...,,735019.75,0.0,0.0,0.0,0.00013733119703829288,0.0,0.179995422293431,True,True,4991573,16638.576666666668,STALE,0.0,0.28349415941361644,0.7567747815594315,MODERATE,148,0.0,1
6,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GKH9FPP...,,582675.25,0.0,0.016464484855532646,0.09161641448736191,0.5271534323692322,0.014785991981625557,0.0899977111467155,True,True,3225574,10751.913333333334,STALE,0.0,0.09783850463148398,0.2261002141970009,DISTRIBUTED,7884,0.0,2
29,5HmkM6X1D3W3CuCSPuHhrbYyZNBy2aGAiZy9NczoJmtY25H7,5HmkM6X1...,,266946.9375,0.0,0.011490043252706528,0.06394300609827042,0.40570688247680664,0.009292744100093842,0.0899977111467155,True,True,3219385,10731.283333333333,STALE,0.0,0.17642649865542864,0.4464770613426895,DISTRIBUTED,656,2.8081872155865448e-09,19
