combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,13,13,13,16,bitads,2026-06-22,8463825,0.017056863,0.00012579234316945076,134.59539929249314,PREMIUM,False,True,0.0,1387.589941801,59528.158098776,1.0,81350.827805947,8854.780357259,0.00132036,-2117956.231826217,DISTRIBUTING_PRE_EMA,1.4445408101769395,,,0.07740931025828138,,222.270537781503,1637.5773580586665,222.270537781503,1637.5773580586665,,44.147174781375206,-357.7593947550923,1,703.7898776417919,MINER_BURN_ONLY,5068583.119020902,5067287.119020902,0.0,0.02330980809953082,0.3665940858838358,5G69VLQU...,1011278.8125,,,,True,8460646,1.0,,,,,,,
2,1,7,7,82,Compelle,2026-06-22,8463825,0.006058746,0.0047351832035928965,0.2795167028390431,PREMIUM,False,False,0.003029296,1056.091636617,346588.688286364,1.0,174294.088367673,53078.005442341,0.000491371,-30002.910168748087,DISTRIBUTING_PRE_EMA,26.92713170113972,,0.08110110574036276,0.08110110574036276,7.538162041981132,-1.3556535464000325,3.4007865512083577,6.1825084955811,10.93894859318949,7.538162041981132,7.582474814725205,,,,,,,0.00038147857412695885,0.003047103590825847,-0.4970735543583034,5H6h1PUD...,177419.3125,0.09231009298827518,,,True,8026517,0.4186536339164355,,,,,,,
3,2,2,12,97,Albedo,2026-06-22,8463825,0.02433593,0.022810342721641064,0.06688138345731871,IN BAND,False,False,0.009841502,6669.166231649,609386.626809262,1.0,274007.890452226,315355.70500775,0.000646294,-6194.436596644984,DISTRIBUTING_PRE_EMA,8.303611786891615,,0.026557193417305194,0.026557193417305194,3.878066066679083,-7.064716658547298,0.8137234987307109,-3.186650591868215,4.691789565409794,3.878066066679083,4.312533101949026,,,,,,,7.627904415130615e-05,0.010944063978838264,-0.5502919354699711,5EUXD91A...,1311333.75,0.6458996413925541,BUYBACK_GAMING,,True,7735450,0.0,,,,,,,
4,3,5,8,110,Green Compute,2026-06-22,8463825,0.00995146,0.00956612708978355,0.04028097333433713,IN BAND,False,False,0.00497571,5870.194205386,2262075.964572876,1.0,588035.343377168,239406.795880806,0.000797381,-35368.29182345478,DISTRIBUTING_PRE_EMA,4.459863927867885,,0.08012703663583032,0.08012703663583032,2.2275525174281974,3.5814497276801758,0.4900851755677684,5.809002245108373,2.717637692995966,2.2275525174281974,1.1617646980729126,,,,,,,0.0,0.002595047335863633,-0.7392294863403327,5D53sX6A...,734561.6844024658,0.06253101354650073,,,False,5606062,1.0,,,,,,,
5,9,10,1,61,RedTeam,2026-06-22,8463825,0.004475754,0.004005234921351075,0.11747602522406003,IN BAND,False,False,0.002237845,8228.381259606,3533960.055641913,1.0,1838606.239286501,398467.094086921,0.001349804,-275886.8651336732,DISTRIBUTING_PRE_EMA,1.713730358989761,,0.30158136483819264,0.30158136483819264,0.7147282648253958,19.26078802882301,1.4292916402260636,19.975516293648408,2.1440199050514592,0.7147282648253958,0.7436416820287594,,,,,,,1.52587890625e-05,0.002328374155352864,-0.479780578791224,5ECEsYL8...,,,,,False,4457976,1.0,,,,,,,
6,7,9,4,60,Bitsec.ai,2026-06-22,8463825,0.004488095,0.004213729640468955,0.06511223617576717,IN BAND,False,False,0.002244032,7143.70422326,3398497.141371147,1.0,1595490.315676319,746743.898293613,0.000569535,-68269.94356077956,DISTRIBUTING_PRE_EMA,2.5879922264262474,,0.1268990518248834,0.1268990518248834,0.8255263532325788,10.863290607301147,0.7921988734718338,11.688816960533726,1.6177252267044127,0.8255263532325788,0.7732829808824602,,,,,,,1.5288591384887695e-05,0.0021020186058999667,-0.5316456969159595,5CXLwkK1...,28560.3671875,0.037403352173446355,,,False,4796992,0.7081057208250399,,,,,,,
7,5,12,11,36,Eirel,2026-06-22,8463825,0.004915099,0.0048324549570679665,0.017101875478664957,IN BAND,False,False,0.000651353,1288.472125102,493329.175732511,1.0,262116.558725123,27843.788783847,0.000141683,-7608.060960861039,DISTRIBUTING_PRE_EMA,64.99412827461609,,0.028826072475854506,0.028826072475854506,1.3285158837755153,-6.948642888393176,0.20807281832375696,-5.620127004617661,1.5365887020992723,1.3285158837755153,5.327071921294461,,,,,,,0.0,0.0026117898321923396,-0.4686190792510304,5GLGTwG6...,869084.625,0.7290815063007101,BUYBACK_GAMING,,True,7894898,0.0,,,,,,,
8,8,1,2,9,iota,2026-06-22,8463825,0.036054144,0.03407344617880881,0.05813024637417052,IN BAND,False,False,0.018026907,62238.89311806,3665116.93649298,1.0,1726257.426317161,975205.849555185,0.009394018,-161487.45083294832,DISTRIBUTING_PRE_EMA,3.5401547290349082,,0.26055307262321914,0.26055307262321914,0.7611753555150095,9.272234829862573,0.7072513308857412,10.033410185377582,1.4684266864007507,0.7611753555150095,0.7170303282368501,,,,,,,1.5243887901306152e-05,0.016981420837724807,-0.5290022462404098,5Fsbubec...,1803.621826171875,0.0,,,False,1489797,0.9600054932478009,,,,,,,
9,4,4,10,107,Minos,2026-06-22,8463825,0.042110652,0.04228337504900992,-0.004084892674951337,IN BAND,False,False,0.005328388,9748.099993245,1009472.575690511,1.0,231413.004353006,197826.226129606,0.002139692,-5555.684890241595,DISTRIBUTING_PRE_EMA,0.6520791784124013,,0.05081118193088058,0.05081118193088058,1.4364854354903478,8.964533005119,-0.04969952754524126,10.401018440609347,1.3867859079451066,1.4364854354903478,2.60333966794726,,,,,,,7.631117478013039e-05,0.009656626864357353,-0.7706844609207819,5DA2vLrS...,864779.625,0.272835721336936,BUYBACK_GAMING,,False,7457580,0.9035403605008767,,,,,,,
10,6,6,3,23,Trishool,2026-06-22,8463825,0.006301884,0.006233372259885073,0.010991119615273909,IN BAND,False,False,0.003150937,8803.528106105,3942473.245052978,1.0,1393328.445417456,496665.836789244,0.000822078,-50715.287300273776,DISTRIBUTING_PRE_EMA,18.686703958691908,,0.13044956079800898,0.13044956079800898,0.940607258385146,-2.0296462561753503,0.13372528865249922,-1.0890389977902042,1.0743325470376452,0.940607258385146,0.6665866415955057,,,,,,,0.0,0.002232996284033552,-0.6456621092940537,5CqTRwoF...,1813447.0,0.701952400503274,BUYBACK_GAMING,,False,2063528,1.0,,,,,,,
