combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,1,17,43,96,Verathos,2026-05-12,8169338,0.014931741,0.01751482463441789,-0.14747984569265662,IN BAND,False,False,0.006151371,300.22433177,123191.74907488,1.0,20106.310800839,5526.012752582,0.001641835,4334.252620944773,,-0.013352924031958136,,0.10995603258856418,0.10995603258856418,53.84574558861712,-13.710822442870354,-1.794338122593989,23.14544251288565,35.06192683316201,36.856264955756004,21.332597513512166,16.989480632861117,1,0.0,,352.90351707799164,0.0,0.000122076366096735,0.0024370490233685516,-0.8367873496219529,5CGq1JQh...,453527.40625,0.36702641763702476,BUYBACK_GAMING,,True,7692872,0.9027423803853871,,,,,,,
2,2,14,51,82,Compelle,2026-05-12,8169338,0.02308284,0.027191954664885998,-0.15111508957435316,IN BAND,True,False,0.006857742,385.872164858,144592.697045777,1.0,16717.003649336,15452.827625638,0.001830369,3894.46174373933,,-0.023956764135775875,,0.07929565859313673,0.07929565859313673,46.7049650565806,32.29555538901082,-1.83856692315463,65.32659585266967,31.192473540504224,33.031040463658854,18.175191788337653,13.673924592921745,1,0.0,,223.48668259900842,0.0,0.0006866774056106806,0.0026686836385369844,-0.8843866855838802,5H6h1PUD...,25871.609375,,,,True,8026517,0.011177279210871416,,,,,,,
3,3,12,12,69,ain,2026-05-12,8169338,0.014629361,0.008129164343699813,0.7996143738117323,PREMIUM,False,False,0.007314663,4226.064494394,568319.577233734,1.0,288874.806349412,27552.507546116,0.00327453,34786.8654723753,,-0.3627403567803941,PRICE_UP_FLOW_DOWN,0.2238327429338848,0.2238327429338848,4.548660908866818,168.56449059447496,9.728641548042742,189.71432409542064,30.878475048988427,21.149833500945686,4.624158845260362,-16.601172592078868,1,0.0,,3095.1530724890763,0.0,0.0,0.007436070590712622,-0.4917022971329628,5HBPFVcJ...,609682.8125,,,,True,8138182,1.0,,,,,,,
4,4,39,25,55,NIOME,2026-05-12,8169338,0.004816914,0.005276116309687495,-0.08703415215550726,IN BAND,False,False,0.002408512,8297.256931859,2865243.964728436,1.0,1721264.443363416,405827.272823761,0.000746898,135415.2659509331,,-0.7615051178028651,,0.15505736660442762,0.15505736660442762,0.7628508539607028,-9.986903572839024,-1.0589155178920049,6.884869407851772,15.81285746279879,16.871772980690796,0.9171993841889405,-16.108922126730093,1,0.20803167796193586,MINER_BURN_ONLY,7142.7421219889075,2246.7421219889075,0.0,0.002895829127990294,-0.39882067066377064,5GeWUxaF...,119086.0546875,,,,False,4703386,1.0,,,,,,,
5,5,20,35,78,Vocence,2026-05-12,8169338,0.010620155,0.010665587848052382,-0.0042597603338553605,IN BAND,False,False,0.005310077,520.219407502,206702.752737376,1.0,48984.526217228,12699.770711606,0.001421169,4267.384959156989,,0.0012272557870182047,,0.13381810340809527,0.13381810340809527,26.824993752172446,1.0799205032489372,-0.051827084061906885,16.339837632585876,15.20809004527503,15.259917129336937,12.713909056349035,11.565076622835509,1,0.0,,184.47865020300378,0.0,0.0,0.0025167512314795307,-0.7630212335432457,5FnQCJW2...,485121.0,0.0,,,True,7966145,1.0,,,,,,,
6,6,5,32,102,ConnitoAI,2026-05-12,8169338,0.028321535,0.030937439296394587,-0.08455464821548572,IN BAND,False,False,0.01416076,1950.592707103,294093.362009511,1.0,68875.208993122,38618.009627988,0.003922304,7051.120913148683,,-0.0670137620265498,,0.13849192849187023,0.13849192849187023,19.078548353269788,-9.976945692998319,-1.0287482199550761,4.6659902322833755,13.614187705326618,14.642935925281694,8.935937832949152,4.435612427988093,1,0.0,,218.3072107040207,0.0,1.5288591384887695e-05,0.006632562849344141,-0.7658120278669873,5HidKLut...,103573.72973632812,,,,True,7840965,0.0,,,,,,,
7,7,15,30,26,alchemy,2026-05-12,8169338,0.013505518,0.011355438502505422,0.18934359047606944,IN BAND,False,False,0.006752757,2504.551472003,346114.974242922,1.0,185445.656496298,21518.120389617,0.001904663,14275.522307791369,,-0.2057427660805081,PRICE_UP_FLOW_DOWN,0.141028504052936,0.141028504052936,7.085598197671516,156.99897014013078,2.303680350792178,168.0250587185331,13.329768929194506,11.026088578402328,7.592852651776717,-3.9404903807308127,1,0.0,,302.679662080016,0.0,0.0,0.007236183518154207,-0.46420540714142117,5FsVAEPM...,1164333.5,,,,True,8123781,1.0,,,,,,,
8,8,51,46,109,Academia,2026-05-12,8169338,0.004294968,0.004839374218136072,-0.11249516850667426,IN BAND,False,False,0.001521763,1207.196127255,827569.431556856,1.0,281106.52112566,28655.091150215,0.000406167,26605.954821378633,,-0.4630410842639218,,0.09456810854004034,0.09456810854004034,3.3127948919896073,-9.201307801692678,-1.3686912168312035,1.1124282938976755,8.94504487875915,10.313736095590354,3.1755643693316506,-7.000941203600746,1,0.0,,0.0,0.0,0.0,0.001458724889081482,-0.6603642008318846,5GULfmPm...,314307.15625,,,ENTRY_PRE_EMA_PATTERN,False,7257480,1.0,,,,,,,
9,9,11,42,107,Minos,2026-05-12,8169338,0.018787736,0.02089116768911481,-0.10068521398211683,IN BAND,False,False,0.007768883,3578.68529153,643551.223937605,1.0,190446.242323543,101673.001839741,0.002073558,18022.530353571055,,-0.31399947794620464,,0.11036763556822388,0.11036763556822388,5.705062854317445,-22.151641488251407,-1.2250034367824214,-12.163250018802616,8.76338803266637,9.988391469448791,4.083591021582449,-4.283328615131346,1,0.0,,0.0,0.0,9.15764831006527e-05,0.0055608398499090855,-0.7040175649738166,5DA2vLrS...,590869.875,,,,True,7457580,0.8920477951072799,,,,,,,
10,10,6,44,97,distil,2026-05-12,8169338,0.02936621,0.030784602975472808,-0.04607475290822792,IN BAND,False,False,0.012019445,4558.840633747,372710.348684521,1.0,155208.84442959,194268.749480585,0.003208056,11393.80722062575,,-0.21278698235451599,,0.1092431062775891,0.1092431062775891,6.92875754992952,-17.850783669592033,-0.5605761603834397,-8.61488473164582,8.675322777562775,9.235898937946214,7.051051867155047,-2.307141388016695,1,0.0,,1124.2296346920139,0.0,7.627904415130615e-05,0.01223159123388283,-0.5834807680704174,5EUXD91A...,1116157.25,,,,True,7735450,0.0,,,,,,,
