combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust,burned_source,alpha_burned_cum,alpha_recycled_cum,recycled_tokens,recon_flag,recon_gap_relative,burn_coverage,owner_cut_emission,total_locked_alpha,locked_float_ratio,owner_locked_alpha,owner_lock_ratio,community_locked_alpha,commitment_class,gate_eligible,leader_is_owner,leader_pct_of_threshold,leader_blocks_to_threshold,governance_flag,basket_alpha,basket_share,ema_halving_days
1,1,37,15,105,Beam,2026-09-18,9095651,0.005270804,0.0057678616140037775,-0.08617710466509337,IN BAND,False,False,0.000884806,4576.396595841,2044700.909464991,1.0,868254.019856168,552655.221912735,-0.0010888053840733777,80489.6540448746,ACCUMULATING_PRE_EMA,0.0,,,,0.508100668135535,-5.234174809626447,-1.048488106758636,7.743186610593838,11.928873313461649,12.977361420220285,1.2852735516646456,-12.46926075208475,1,0.0,,0.0,0.0,0.0018463416495002605,0.0022381740892551583,-0.5753638175020057,5G3ic2pA...,2039284.452017205,,,,False,6841399,0.0,177,5FmsqfCN...,0.179995422293431,0.9308807048820888,0.7633264393020305,0.02452274496040042,,COUNTER,452240.813141888,1869.377328683,0.0,DIVERGENT,1.0,0.0,1295.967040512703,180854.136021186,0.0884501665666631,180854.136021186,0.0884501665666631,0.0,DORMITORY,False,True,0.8845016656666347,,,16302.866352571004,0.007973227906880891,30.0
2,2,46,16,85,Vidaio,2026-09-18,9095651,0.005040153,0.0053977700881659985,-0.06625274554580107,IN BAND,False,False,0.000320702,12599.72878837,2733844.874058872,1.0,2499870.20387692,1446852.099749182,-0.006693889346863315,87641.29987016274,ACCUMULATING_PRE_EMA,0.0,,,,0.06689071409044448,3.6676938437030464,-0.8060750708072464,14.1386141829418,9.664845268431508,10.470920339238754,0.9612835113421316,-10.40402962514831,1,0.07321046297609635,MINER_BURN_ONLY,560.9257269199588,560.6554591241245,9.15541313801782e-05,0.004608794342329853,-0.08558443715302834,5GTPBjA4...,3077491.917294455,,,,False,5258781,0.31734041416777303,244,5FCm8AUA...,,9.757613596969282,9.757613596969282,0.0,,COUNTER,507879.906498244,0.0,0.0,DIVERGENT,-0.5916355920238114,0.4326155230786743,1295.967040512703,143823.619066003,0.052608551579033686,143823.619066003,0.052608551579033686,0.0,FORTRESS,True,True,0.5260855157903388,,,24400.993627005995,0.008925522387368835,30.0
3,3,2,17,90,KubeTEE,2026-09-18,9095651,0.029649578,0.030490810051560402,-0.027589691783782292,IN BAND,False,False,0.014628974,2572.106594086,324723.028161268,1.0,86750.1927252,80989.097555061,,3393.6297212370555,,,,,,14.946870304829432,-6.074292708540276,-0.3356745833693512,1.2783675230355849,7.01698564820651,7.352660231575861,8.09305091443915,7.594210073253571,1,0.0,,0.0,0.0,3.0518043793392735e-05,0.00792092451419432,-0.73284865928971,5C9y6fnL...,434493.560699854,1.2871362401803197,BUYBACK_GAMING,,True,8618670,0.2439381685562999,0,5EKtGWqs...,0.179995422293431,1.434094876676982,1.175964363740663,0.33436083685583917,,COUNTER,0.0,112878.401821767,671.4092908859893,OK,0.09308010124420786,0.0,1295.967040512703,71721.723844897,0.22087045766670318,71721.723844897,0.22087045766670318,0.0,DORMITORY,False,True,2.2087045766670315,0,,53489.84930477199,0.16472453342054694,30.0
4,4,44,18,66,conjectures,2026-09-18,9095651,0.004170614,0.00453279004432261,-0.07990135011354463,IN BAND,False,False,0.000382718,7920.22399445,3906908.280054693,1.0,1899054.363757987,1402231.500274495,-0.005772511456838813,77775.82927212492,ACCUMULATING_PRE_EMA,0.0,,,,0.1269891993843596,25.67164777252894,-0.9721330930481262,32.243912748023014,5.600131882445949,6.572264975494075,0.6726546444451494,-6.445275776109716,1,0.0,,0.0,0.0,0.0,0.002027235713437103,-0.5139239178123166,5CJCRGep...,1181907.65135847,,,,False,4958013,1.0,227,5E2LP6En...,0.0,0.29205567690015233,0.29205567690015233,0.5543110025942317,,COUNTER,876389.726869251,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,392806.591766313,0.10054154426190268,392806.591766313,0.10054154426190268,0.0,DORMITORY,True,True,1.0054154426190267,0,,11634.326000905001,0.0029778856238575763,30.0
5,5,31,19,91,cascade,2026-09-18,9095651,0.006742979,0.007094550179317594,-0.049555105035765726,IN BAND,False,False,0.001690897,3731.685692672,1175930.998323384,1.0,553417.963628399,183824.410844492,-0.00013977869327964234,24521.10084225633,ACCUMULATING_PRE_EMA,0.0,,,,1.190796246512978,-11.170121316014022,-0.6029204446018163,-5.062812164375689,5.504388707036517,6.107309151638333,2.234825005673754,-4.916512905125355,1,0.0,,0.0,0.0,1.5259021896585345e-05,0.003173388317845651,-0.529378881671491,5HEe7NjS...,392762.640043593,,,,False,7633645,0.0,0,5FcCsoB2...,0.0,0.667006673190004,0.667006673190004,0.24313683600128183,,COUNTER,399376.775480423,9542.545852108,0.0,DIVERGENT,1.0,0.0,1295.967040512703,56989.761335735,0.0484635250001826,56989.761335735,0.0484635250001826,0.0,DORMITORY,False,True,0.48463525000182694,,,37037.111617439994,0.031495990555778085,30.0
6,7,23,3,69,Herald,2026-09-18,9095651,0.007442014,0.007801888044923544,-0.04612653281505404,IN BAND,False,False,0.002212484,4102.404348885,1321254.603889954,1.0,551249.141547618,79525.553628883,0.0011393261345515797,24620.78697675024,,0.0,,0.15309379081409677,0.15309379081409677,1.417317128571275,-3.7215316706367783,-0.5612061492498241,1.9744262110097694,5.134751732396723,5.695957881646548,1.9890186132656107,-4.278640753075273,1,0.0,,0.0,0.0,4.57770656900891e-05,0.0031049309775776457,-0.5827835075857629,5HBPFVcJ...,707957.734611908,,,,False,8138182,1.0,155,5FLBpbxv...,0.0,0.593731090618564,0.593731090618564,0.004486357809924922,,COUNTER,382933.064009199,4110.268380516,0.0,DIVERGENT,1.0,0.0,1295.967040512703,485.813350565,0.00036769094248352975,485.813350565,0.00036769094248352975,0.0,NEITHER,False,True,0.0036769094248352975,,,23831.722920377993,0.01803719196149943,30.0
7,6,24,5,61,RedTeam,2026-09-18,9095651,0.013993051,0.014842651085928082,-0.05724045394650326,IN BAND,False,False,0.00193938,15448.104954168,4997196.307428679,1.0,1103984.070122464,743077.889209608,0.001606769924520486,82386.46639673691,,0.0,,0.11482627516475757,0.11482627516475757,0.3299233566266572,-5.87751823943021,-0.6964255230157896,-0.17428785581761552,5.006804860596805,5.703230383612595,0.525894889519008,-5.3733070269859375,1,0.0,,0.0,0.0,0.0009765774013885675,0.0030913544323250457,-0.7790793135589197,5ECEsYL8...,234.586770589,,,,False,4457976,0.004032319652976124,69,5HbLhpEA...,,2.643034764858687,2.643034764858687,0.0,,COUNTER,808370.14496251,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,1021287.884224886,0.20437217619541392,1021287.884224886,0.20437217619541392,0.0,DORMITORY,True,True,2.0437217619541395,0,,28646.569529147007,0.005732528355262308,30.0
8,8,55,20,88,Investing,2026-09-18,9095651,0.003227165,0.0032444552052766085,-0.005329155184047062,IN BAND,False,False,0.00010919,6360.403980625,3296070.926659308,1.0,1970894.736995187,720883.880949744,-0.0006446650318909965,41650.782116101356,ACCUMULATING_PRE_EMA,0.0,,,,0.04511526640039033,1.9551046455260674,-0.06483805473923925,5.772874176298329,3.752931476033022,3.8177695307722614,0.7973129397016882,-3.7726542643718712,1,0.0,,0.0,0.0,0.0004882887006942838,0.0019296926923449156,-0.4020470932397583,5FhMsGJS...,2900795.955120239,,,,False,5299805,0.48237485306016525,36,5FYoKjj4...,0.179995422293431,7.537375924673584,6.180682762127622,0.0,,COUNTER,175269.313011837,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,1189771.485128892,0.3609665907082801,1189771.485128892,0.3609665907082801,0.0,DORMITORY,True,True,3.609665907082802,0,,9911.854702961005,0.003007172759175739,30.0
9,9,9,21,80,OpenRoboto,2026-09-18,9095651,0.022783966,0.022982500959187746,-0.008638527179452949,IN BAND,False,False,0.006820757,4296.672566962,2108853.718464149,1.0,188583.245506765,281130.877085295,-0.0002903473733555673,4268.655487278767,ACCUMULATING_PRE_EMA,0.0,,,,4.17182112824436,16.830058247903725,-0.10510208068334422,20.162810412134327,3.227650083547259,3.332752164230603,1.2461746288945723,0.8390689640137565,1,0.0029257920171792268,MINER_BURN_ONLY,27.417136868985835,27.372092236346788,1.5259021896696368e-05,0.0020374445744350683,-0.9105755084766599,5CG1eFia...,302681.026670443,,,,False,7151800,0.8500015259254738,42,5G9hfkx9...,0.009994659342336155,0.5849792661620103,0.5791325976743913,0.0069282302492026425,,COUNTER,258210.682638495,2501.379452446,0.0,DIVERGENT,0.890341777397979,0.021120978682851375,1295.967040512703,340235.75332635,0.16133682025804014,340235.75332635,0.16133682025804014,0.0,DORMITORY,False,True,1.6133682025804037,0,,21431.076819072005,0.010162429300539622,30.0
10,10,1,14,107,Minos,2026-09-18,9095651,0.048891425,0.049354484770447016,-0.009382324070461965,IN BAND,False,False,0.015718271,21422.351040007,1633597.017629192,1.0,438162.069837612,557141.420313796,0.001226016808458981,15228.91797066899,,0.0,,0.025076315702783895,0.025076315702783895,1.9282484966685758,-5.4195069593569185,-0.11415160952395391,-2.135330004120993,3.1700253457119714,3.2841769552359255,1.608719881120967,-1.3559284585673494,1,0.0,,0.0,0.0,0.00010681315327687457,0.013113608073977049,-0.7317810214372552,5DA2vLrS...,1301049.347785571,,,,False,7457580,0.0,0,5E4WJ2tA...,0.179995422293431,0.6467658200224435,0.5303509331225467,0.781004410126505,,COUNTER,406798.248425295,11728.725039684,0.0,DIVERGENT,1.0,0.0,1295.967040512703,41164.694002343,0.025198805799783185,41164.694002343,0.025198805799783185,0.0,DORMITORY,False,True,0.25198805799783186,,,27250.453133847986,0.01668125788659681,30.0
