combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust,burned_source,alpha_burned_cum,alpha_recycled_cum,recycled_tokens,recon_flag,recon_gap_relative,burn_coverage,owner_cut_emission,total_locked_alpha,locked_float_ratio,owner_locked_alpha,owner_lock_ratio,community_locked_alpha,commitment_class,gate_eligible,leader_is_owner,leader_pct_of_threshold,leader_blocks_to_threshold,governance_flag,basket_alpha,basket_share,ema_halving_days
1,1,62,11,76,Phylax,2026-09-04,8995110,0.001564595,0.001718331826850772,-0.08946864886541099,IN BAND,False,True,1.2627e-05,896.151178622,1075264.948128685,1.0,572768.549040931,70280.277068098,-0.0004971316610077797,46445.431449869764,ACCUMULATING_PRE_EMA,0.0,,,,0.03702919417126274,-19.560118297585124,-1.0885352278625002,-6.652191204839527,11.819391864883096,12.907927092745597,2.444048794274923,-12.870897898574334,1,0.0,,0.0,0.0,0.00016784924086366004,0.0008334235949768456,-0.46732311238573204,5FFNhWd8...,626929.427569965,,,ENTRY_PRE_EMA_PATTERN,False,7574784,0.502167144862951,14,5DP6GKHh...,,14.061652217365298,14.061652217365298,0.0,,COUNTER,475840.83810665,7026.080961259,0.0,DIVERGENT,1.0,0.0,1295.967040512703,56651.148490303,0.0526857576719995,56651.148490303,0.0526857576719995,0.0,DORMITORY,False,True,0.5268575767199949,,,29199.591889263003,0.027155718169814713,30.0
2,2,15,12,75,Hippius,2026-09-04,8995110,0.017559285,0.0177945364266634,-0.013220430194005857,IN BAND,False,False,0.002591302,33230.226840342,3591247.44998352,1.0,1892458.992102973,1510058.19643095,-0.01292806119265099,39080.396489439765,ACCUMULATING_PRE_EMA,0.0,,,,0.20493214472230528,-1.3903881311642128,-0.1608485673604046,1.9230070375927133,3.1525466013965215,3.313395168756926,0.7317791482210617,-3.108463024034621,1,0.0,,0.0,0.0,0.0012207217517357094,0.00925311533197037,-0.47303575675374193,5DAQpczE...,1529507.421679772,,,,False,5102795,0.0,0,5G1Qj93F...,0.0,0.29347503135150876,0.29347503135150876,0.4056829800546323,,COUNTER,784604.879643725,0.0,0.0,OK,1.0,0.0,1295.967040512703,552610.229396187,0.1538769569885035,552609.767120331,0.1538768282655841,0.4622758560581133,DORMITORY,True,True,1.538768282655841,0,,18208.890670698005,0.005070352551390343,30.0
3,4,24,13,19,blockmachine,2026-09-04,8995110,0.010210691,0.010274540400132537,-0.006214331507394149,IN BAND,False,False,0.001417301,32337.025875713,2723130.965779694,1.0,3166976.988681011,1672936.956918926,-0.008205630128196056,31230.246727473103,ACCUMULATING_PRE_EMA,0.0,,,,0.11518273332605529,-0.5563988424121439,-0.07560770000662881,2.623691941966016,3.1044830843715308,3.1800907843781596,0.9650655928873199,-3.0649080510521043,1,0.0,,0.0,0.0,0.0001831082627603564,0.011874943321521145,0.16299115520400592,5FWh37Lf...,1270759.327482437,,,ENTRY_REPEATED,False,1956072,0.0,124,5HQLnZYK...,,0.4420627525176195,0.4420627525176195,0.009156111704562797,,COUNTER,1006514.180053119,0.0,0.0,OK,1.0,0.0,1295.967040512703,169492.989899939,0.06224195311568841,169492.989899939,0.06224195311568841,0.0,DORMITORY,True,True,0.6224195311568841,,,20355.696910366998,0.007475107575128581,30.0
4,3,42,14,88,Investing,2026-09-04,8995110,0.00361927,0.0037078033201396465,-0.023877566444466144,IN BAND,False,False,0.000253648,6719.733779346,3305525.528813306,1.0,1856654.154356112,712554.558881689,-0.0006446650318909965,36695.51749615162,ACCUMULATING_PRE_EMA,0.0,,,,0.09919841557545687,-3.19221225764905,-0.29051039174100474,0.08288152053134334,2.9845833864393887,3.2750937781803935,0.7950324319363101,-3.1758953626049364,1,0.0,,0.0,0.0,0.000869764248111693,0.0020328791052351683,-0.4383179190181533,5FhMsGJS...,3055618.019010271,,,,False,5299805,0.0,153,5E2LP6En...,0.0,0.27475046661917696,0.27475046661917696,0.10355720368081307,,COUNTER,175269.313011837,0.0,0.0,OK,1.0,0.0,1295.967040512703,1137358.26525751,0.344077894828973,1137358.26525751,0.344077894828973,0.0,DORMITORY,True,True,3.440778948289732,0,,10006.103492478,0.0030270840159175,30.0
5,5,47,3,82,Compelle,2026-09-04,8995110,0.003205628,0.003277152543887496,-0.021825210431813076,IN BAND,False,False,0.000158797,1571.597318119,719867.941177846,1.0,490262.019620208,114946.810595282,0.0004909697292762227,12741.144607587601,,0.0,,0.1531586725834135,0.1531586725834135,0.26553781378265306,-4.71803072386468,-0.26554006025372573,-1.844817120440993,2.607673543169961,2.873213603423687,3.650669587674752,-2.607675789641034,1,0.0,,0.0,0.0,0.0,0.0021831744799574717,-0.318955761567633,5H6h1PUD...,377756.527566578,,,,False,8026517,0.0,48,5G9hfkx9...,0.009994659342336155,0.7614001913466552,0.7537902558109558,0.02630815949703194,,COUNTER,51466.221683119,7195.897335065,0.0,OK,0.0,0.0,1295.967040512703,744.314271862,0.0010339594657377783,744.314271862,0.0010339594657377783,0.0,NEITHER,False,True,0.010339594657377783,,,34881.522754536,0.04845544683857284,30.0
6,6,43,15,117,glyph,2026-09-04,8995110,0.003362031,0.003430202603340149,-0.019873929100796234,IN BAND,False,False,0.000189004,3304.265146072,1871532.21772814,1.0,982818.063001338,227659.334579543,-0.0007537834211656891,21200.813490228145,ACCUMULATING_PRE_EMA,0.0,,,,0.15032162675881608,17.179523442332627,-0.2417994707263542,19.992949850524184,2.5716269374652017,2.813426408191556,1.4041970397870782,-2.66310478143274,1,0.0,,0.0,0.0,0.0,0.0017655400824908372,-0.474859071052338,5HdThE9W...,2014966.904381649,,,,False,5710859,1.0,125,5EsLkLnu...,,9.382809522081294,9.382809522081294,0.0,,COUNTER,289424.602021989,152262.178789407,147.60082365898415,OK,0.07443268730488418,0.0,1295.967040512703,184995.455974437,0.09884705922882998,154144.143623114,0.08236253811875606,30851.312351322995,DORMITORY,True,True,0.8236253811875606,,,18379.13402154498,0.009820367422718206,30.0
7,9,34,16,85,Vidaio,2026-09-04,8995110,0.005016494,0.0050325896590948105,-0.0031982856114094005,IN BAND,False,False,0.000767064,12542.374427146,2627423.008441703,1.0,2500226.864797818,1408969.745321537,-0.006693889346863315,19991.315890310332,ACCUMULATING_PRE_EMA,0.0,,,,0.16072269279706894,0.6235627722080179,-0.03891247493881437,2.4020345950227364,1.739559347875904,1.7784718228147183,1.0002196036026338,-1.6177491300176494,1,0.0,,0.0,0.0,0.00012207217517357094,0.004773641087426098,-0.048410884688370376,5GTPBjA4...,3005482.876736866,,,,False,5258781,0.13598974468539682,184,5EM4mjLn...,,8.942271506367803,8.942271506367803,0.0,,COUNTER,496360.999970373,0.0,0.0,OK,1.0,0.0,1295.967040512703,143874.406841709,0.0547587527320313,143874.406841709,0.0547587527320313,0.0,DORMITORY,True,True,0.547587527320313,,,12926.539597439998,0.004919854761075032,30.0
8,8,65,17,74,Gittensor,2026-09-04,8995110,0.003961478,0.003993649268522859,-0.008055606879759335,IN BAND,False,True,6.185e-06,6601.734789668,3489036.33845145,1.0,1666482.721976955,350272.555962416,-0.0012658894502273344,22350.4993241427,ACCUMULATING_PRE_EMA,0.0,,,,0.0024621073881123633,4.42011800015616,-0.09800988370373857,6.202348613229699,1.6842207293698004,1.782230613073539,0.7532165747423523,-1.7797685056854267,1,0.0,,0.0,0.0,0.0001068131532769856,0.0018921370112751732,-0.5223658919031804,5D1VXeeS...,216.588029224,,,,False,5086205,0.6404132584544011,195,5E2LP6En...,0.0,0.2947616652652163,0.2947616652652163,0.07494391795998717,,COUNTER,531791.422968235,137587.802507922,1894.4227495149826,OK,0.03195294588113253,0.0,1295.967040512703,378229.609193408,0.10840517911065346,378229.609193408,0.10840517911065346,0.0,DORMITORY,True,True,1.0840517911065346,0,,11109.869026069002,0.0031842227905828947,30.0
9,7,17,18,118,Ditto,2026-09-04,8995110,0.009096398,0.009281547041609883,-0.019948079859946375,IN BAND,False,False,0.002227259,6791.825224773,2181280.011097759,1.0,746650.005768733,748691.755966855,-0.0019519015973399523,15113.923553210683,ACCUMULATING_PRE_EMA,0.0,,,,0.8618061358013862,-4.427690816709724,-0.2427016382960142,-2.534471286636632,1.6505178917770778,1.8932195300730918,1.204797177175535,-1.0314133942717056,1,0.0,,0.0,0.0,4.57770656900891e-05,0.003113687921870664,-0.6577010018833099,5HGXqHbQ...,1525071.531137582,,,,False,5724794,0.820560947323445,28,5DPQjF6B...,0.0,0.45215867339400334,0.45215867339400334,0.08438882954372044,,COUNTER,320927.826926128,1788.13704218,0.0,OK,1.0,0.0,1295.967040512703,112384.020963008,0.05152205145200465,87287.432573333,0.04001661048982171,25096.588389675002,DORMITORY,True,True,0.40016610489821997,,,21510.442842613007,0.009861385394435252,30.0
10,10,56,19,98,NeverPlayAlone,2026-09-04,8995110,0.00277914,0.002788737416267395,-0.0034414915550711567,IN BAND,False,True,8.5154e-05,5176.484473453,2893729.950290417,1.0,1862620.420521409,206169.262030921,-0.001032365332540136,19489.39514096803,ACCUMULATING_PRE_EMA,0.0,,,,0.043231021583789914,-1.4901781441780568,-0.041871480586699074,0.13394432282263624,1.582250986413994,1.624122467000693,0.9081704392409706,-1.5808914454169032,1,0.0,,0.0,0.0,0.0,0.0017888623203880804,-0.35632522277104406,5EWzZCNs...,1606798.311414827,,,ENTRY_REPEATED,False,5445992,1.0,218,5CdPWkBT...,0.179995422293431,0.4596748437061036,0.3769354760955566,0.12778099917600022,,COUNTER,1255490.393926426,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,494424.429967827,0.17086059807281126,494424.429967827,0.17086059807281126,0.0,DORMITORY,True,True,1.7086059807281153,0,,11713.508429995996,0.004047892730564032,30.0
