combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,1,16,48,96,Verathos,2026-05-11,8162131,0.018119413,0.019382996950298548,-0.06519032910847589,IN BAND,False,False,0.006015314,285.782992134,117712.635274237,1.0,15772.17235696,5214.029473562,0.001664055,3338.4170895429907,,0.06048652034900576,PRICE_DOWN_FLOW_UP,0.09183824001362516,0.09183824001362516,55.31555630360157,-7.695949315845721,-0.7931490041531233,23.548370267628474,30.451170579321072,31.244319583474194,22.32555573900377,24.071236720127374,1,0.0,,0.0,0.0,0.000137323047965765,0.002427802176616017,-0.866010991823189,5CGq1JQh...,451352.5,2.8334667248302527,BUYBACK_GAMING,,True,7692872,0.9019778409802016,,,,,,,
2,2,14,53,82,Compelle,2026-05-11,8162131,0.030566435,0.03152262116782367,-0.030333333092226737,IN BAND,False,False,0.006778919,391.934420426,139371.451251743,1.0,12822.669261969,13112.449470047,0.001875295,2537.116571252196,,0.04598835928370828,,0.06135144644771299,0.06135144644771299,45.45403058153602,61.990528301343645,-0.36905555262209194,89.88817768694527,27.528593832979535,27.89764938560163,18.856085492380448,17.55638119593439,1,0.0,,0.0,0.0,0.0005951095372438431,0.0028121571305019925,-0.9079985241817702,5H6h1PUD...,24636.7578125,0.17546277134900679,,,True,8026517,0.035803715101562106,,,,,,,
3,59,11,10,69,ain,2026-05-11,8162131,0.018400064,0.005465497495606542,2.366585386744931,PREMIUM,False,False,0.009199995,4675.247792065,595399.953649777,1.0,254089.583005858,24520.282152974,0.005138455,-11060.787624374847,DISTRIBUTING_PRE_EMA,0.12109405425501303,,0.2792628873464788,0.2792628873464788,5.171402230494623,210.14865034382876,28.79345553872999,203.26238219328275,21.90718738818398,-6.886268150546009,4.4138397792785655,12.057670381040632,1,0.0,,2820.3773741379846,0.0,0.0,0.007852281081659354,-0.5732470777460691,5HBPFVcJ...,614110.75,0.0,,,True,8138182,1.0,,,,,,,
4,9,13,27,26,alchemy,2026-05-11,8162131,0.015230527,0.010146472603082657,0.5010661927350721,PREMIUM,False,False,0.007615257,2607.024680268,349892.364646153,1.0,171170.945755147,19262.967759784,0.002398043,11292.241131445626,,-0.1395207309708494,PRICE_UP_FLOW_DOWN,0.15744977176429942,0.15744977176429942,7.676527018510117,183.50534597009502,6.096305344943377,191.35845675699778,13.949416131846151,7.853110786902774,7.510881246744846,-0.1765837683926571,1,0.0,,0.0,0.0,0.0010528943967074156,0.007450933326037253,-0.5107895264532046,5FsVAEPM...,1164944.625,,,,True,8123781,0.10816301616352397,,,,,,,
5,3,5,37,102,ConnitoAI,2026-05-11,8162131,0.031573862,0.03315461706370115,-0.04767827843295522,IN BAND,False,False,0.015196961,1951.959522432,290562.342996631,1.0,61824.535216706,36306.564770765,0.004204032,6817.807139479817,,-0.042978236343421544,,0.13314912189075886,0.13314912189075886,20.460267259149223,1.5074486642588962,-0.5800857209342885,15.551348615402842,13.463814230209657,14.043899951143946,9.044530591599996,6.416367308005278,1,0.0,,0.0,0.0,4.5765191316604614e-05,0.006717868194140466,-0.787233243936378,5HidKLut...,100117.59375,0.2375963126563984,BUYBACK_GAMING,ENTRY_REPEATED,True,7840965,0.0,,,,,,,
6,4,19,8,79,MVTRX,2026-05-11,8162131,0.01023267,0.011027792003005743,-0.07210165033843807,IN BAND,False,False,0.005116328,11015.558048617,3171213.896730056,1.0,1071720.950959748,307890.266633834,0.003398992,113019.9902309248,,-0.5683264947825676,,0.3321705869533563,0.3321705869533563,1.2206108782376308,2.9174453520249393,-0.8772367457843299,16.48379870866239,12.689116610853121,13.566353356637451,0.8287047438552846,-12.34574247839982,1,0.3208762013884606,MINER_BURN_ONLY,8367.183604849502,3465.4629749953747,0.0019378827419131994,0.0034736092888516625,-0.6605373486243901,5Fxp7QBG...,3472100.0,,,,False,5173967,0.8015227514500899,,,,,,,
7,5,18,40,78,Vocence,2026-05-11,8162131,0.011033965,0.011007850058376789,0.0023723925639173855,IN BAND,False,False,0.005131022,493.403367864,200354.492311853,1.0,44717.265292954,11406.457791916,0.001419427,3813.0152139991696,,0.041064573526629004,,0.12864160798044946,0.12864160798044946,27.32921316361337,3.8391751200186706,0.02886410952766152,15.995122893369192,12.184811882878185,12.155947773350523,13.116751062958457,15.173265390262848,1,0.0,,0.0,0.0,0.0,0.0024626518835226046,-0.77681170064228,5FnQCJW2...,492197.15625,4.28004902746606,BUYBACK_GAMING,,True,7966145,1.0,,,,,,,
8,6,8,35,107,Minos,2026-05-11,8162131,0.022115701,0.024152255384251475,-0.08432149924927562,IN BAND,False,False,0.010926535,3814.014700678,651193.070271493,1.0,172407.493234939,99342.718551722,0.003022677,17463.401516518963,,-0.25108725357010386,,0.136675613402442,0.136675613402442,7.5287947828034,-18.55972716983479,-1.02591157419952,-7.8940992310061375,9.639716364629132,10.665627938828653,4.035669481102346,-3.1368331560252525,1,0.0,,0.0,0.0,7.630046457052231e-05,0.005856964508372109,-0.7351671326912899,5DA2vLrS...,596414.875,,,,True,7457580,0.8989012653790123,,,,,,,
9,7,4,39,15,ORO,2026-05-11,8162131,0.033194034,0.03655766323208809,-0.09200886858478698,IN BAND,False,False,0.015796405,5411.178133533,737121.140522059,1.0,162914.499526174,151863.738725321,0.00436986,17489.987994897558,,-0.26594652089498944,,0.1316459457744726,0.1316459457744726,7.671703151434763,-14.513419234395814,-1.1194412344482414,-3.897506474431088,9.496471525516483,10.615912759964726,3.5652213123866505,-2.9442096085299614,1,0.0,,0.0,0.0,0.0003661937080323696,0.00734096179862727,-0.7788469518761333,5GE9r7GM...,,,,,True,7366897,0.7370670632707053,,,,,,,
10,8,22,26,36,automata,2026-05-11,8162131,0.009288465,0.009541466599330306,-0.026516007439366232,IN BAND,False,False,0.004644224,779.614168063,271777.090260755,1.0,83935.019103952,5793.413789883,0.001497498,6425.4352929678425,,-0.03755871863706562,,0.16122125668773046,0.16122125668773046,15.655206346908926,8.098076136539992,-0.32261142384562247,16.79088229304314,8.370194732657527,8.69280615650315,9.669689220230374,6.962400190405777,1,0.0,,0.0,0.0,0.0,0.00286857942041768,-0.69116754809135,5GLGTwG6...,266139.5625,0.0,,,True,7894898,1.0,,,,,,,
