combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,10,39,56,57,gaia,2026-04-27,8061411,0.01051081,0.00011658505536615849,89.15572336427441,PREMIUM,False,False,0.002423736,981.129393243,151953.481887907,1.0,93344.796336383,1232.751384267,0.000712648,-2210443.498674355,DISTRIBUTING_PRE_EMA,2.563554906129398,,0.06780143490368487,0.06780143490368487,6.492087844750181,123.76885323152304,1084.727967598672,130.2609410762732,1091.220055443422,6.492087844750181,17.294766578225712,,,,,,,1.0,0.006456774672440604,-0.385701513732947,5HdpnCSY...,1109938.375,,,,True,8057320,,,,,,,,
2,2,66,67,96,Verathos,2026-04-27,8061411,0.007133677,0.0016193755436688662,3.405202380565722,PREMIUM,False,False,0.000215437,1.597323708,17132.98954966,1.0,223.912067637,71.954644699,6.3344e-05,166.494727778115,,1.5272901372486432,,0.008879572203787751,0.008879572203787751,354.44815172054024,-52.015862598015175,41.42996229688295,-12.49580826823636,80.95001662666176,39.520054329778816,153.3882917737583,314.9280973907614,1,0.0,,0.0,0.0,0.0,9.323088089035217e-05,-0.9869308799809198,5CGq1JQh...,108212.65625,0.1464346828996489,,ENTRY_PRICE_PUMP,True,7692872,1.0,,,,,,,
3,1,61,62,82,uruz,2026-04-27,8061411,0.007267285,0.004472253378480673,0.6249716608115937,PREMIUM,False,False,0.000628417,9.414256361,34839.218037673,1.0,1295.428580351,191.987256949,0.000184772,604.8336522135028,,0.3522244095928807,,0.02542517597699829,0.02542517597699829,175.42329555008814,99.33148650100968,7.603821873207723,166.67642473105053,74.94876010324857,67.34493823004085,75.4322326396144,108.07835732004729,1,0.0,,0.0,0.0,0.0,0.00027022008217348617,-0.9628169141332029,5FFPqmc9...,6278.42041015625,0.0915586803314934,,,True,8026517,1.0,,,,,,,
4,3,43,51,78,Vocence,2026-04-27,8061411,0.0073515,0.007737269159406424,-0.049858567856261325,IN BAND,False,False,0.002169728,91.600690037,94744.167223342,1.0,12460.098763098,1952.132231479,0.000637962,2756.6037859209064,,0.03915637628823141,,0.08677984084880636,0.08677984084880636,62.24893264119287,8.220511191574182,-0.6066125755845128,39.019060118211485,30.19193635105279,30.798548926637302,27.737855289866786,31.45038371455557,1,0.0,,0.0,0.0,0.0,0.0009668214173128799,-0.8684865106015263,5FnQCJW2...,122437.5390625,0.0,,,True,7966145,1.0,,,,,,,
5,4,17,38,102,ConnitoAI,2026-04-27,8061411,0.010841953,0.011143128853291273,-0.027027943161791322,IN BAND,False,False,0.005420971,460.044000356,167187.362494394,1.0,42431.338864096,4406.103973598,0.00166754,3209.0936077960505,,0.03194401211445357,,0.15380439299082002,0.15380439299082002,30.96728090568652,-13.574535673193774,-0.32883997513512775,-2.0484898913195106,11.197205806739134,11.526045781874263,15.718891432886382,19.441235123812255,1,0.0,,0.0,0.0,3.0487775802612305e-05,0.0027516673120040747,-0.7462018778347338,5HidKLut...,29767.16015625,0.0,,,True,7840965,0.0,,,,,,,
6,5,27,46,36,automata,2026-04-27,8061411,0.007143835,0.006895688362419605,0.035985767415586005,IN BAND,False,False,0.003433357,296.159193383,166420.584455096,1.0,41456.706412358,1664.452012045,0.001009505,2962.454417277353,,0.04438754396854954,,0.14131135447557228,0.14131135447557228,30.466257329150082,4.753800015138988,0.4378268368896297,14.726074665276869,10.410101487027509,9.97227465013788,15.791315771451899,20.493982679012202,1,0.0,,0.0,0.0,0.0,0.0017795827021801526,-0.7508925245081735,5GLGTwG6...,206867.953125,0.1295307637020014,,,True,7894898,1.0,,,,,,,
7,6,5,32,15,ORO,2026-04-27,8061411,0.034363928,0.03484577569179237,-0.013828008767956977,IN BAND,False,False,0.017237371,3656.452145673,650656.14977495,1.0,106301.171522726,87404.308189467,0.005683868,6616.045075464441,,-0.05712145300892077,,0.16540216240704494,0.16540216240704494,12.389006934387815,43.98212449387053,-0.16824077334347654,53.71928534377887,9.568920076564865,9.737160849908342,4.038999709614636,2.6518460844794727,1,0.0,,0.0,0.0,1.52587890625e-05,0.005619638186679246,-0.8364669432819425,5GE9r7GM...,,,,,True,7366897,0.7500076295109483,,,,,,,
8,7,3,44,97,distil,2026-04-27,8061411,0.047661012,0.04865543334744871,-0.020438032898557,IN BAND,False,False,0.023319439,3506.435594128,307335.456677158,1.0,73538.127320835,149550.959692707,0.006856586,3857.1953574060753,,-0.007438652038543365,,0.1438615277409552,0.1438615277409552,17.477430868722493,-4.883432941613391,-0.24866273359911018,4.084012325368715,8.718782533382996,8.967445266982105,8.550917061159641,8.509985601740388,1,0.0,,0.0,0.0,0.0,0.01140914762012426,-0.7606188550901047,5EUXD91A...,984886.125,0.41561906783659147,BUYBACK_GAMING,,True,7735450,0.0,,,,,,,
9,8,50,4,55,NIOME,2026-04-27,8061411,0.003998293,0.0041464585810899734,-0.0357330425934281,IN BAND,False,False,0.001999144,7318.572036016,2731826.317922592,1.0,1829972.303697128,346887.500413468,0.001492344,51251.53504815139,,-0.352010410601306,,0.37324528242427457,0.37324528242427457,0.7178655079358863,5.795787388256227,-0.43475201822004184,13.024651662501677,6.794112256025408,7.22886427424545,0.9619938071313602,-6.510998766309564,1,0.37280084984368406,MINER_BURN_ONLY,8922.339266202413,4026.2491783117875,3.0517578125e-05,0.002679003415407969,-0.3299632079469991,5GeWUxaF...,89354.4609375,,,,False,4703386,0.0,,,,,,,
10,9,14,47,100,Plaτform,2026-04-27,8061411,0.012781175,0.013329489156603813,-0.04113542163258087,IN BAND,False,False,0.005858613,2969.288877051,1172657.309276573,1.0,232319.883950674,187217.262175032,0.001722601,16220.872118914092,,-0.2433967451936,,0.1347764192259319,0.1347764192259319,5.185226362781932,4.34609846345083,-0.5004809631964006,10.972071177892877,6.125491751245646,6.625972714442047,2.2410639316453382,-1.4407463516601149,1,0.0,,0.0,0.0,0.0,0.0025321028177300933,-0.8018881035796714,5FX6kmhY...,414889.21875,,,,False,6693448,1.0,,,,,,,
