combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,1,6,18,40,chunk,2026-06-15,8413607,0.013825356,0.00014864979311823845,92.00622429392209,PREMIUM,False,False,0.006912457,1119.382310203,45780.007461689,1.0,80965.87626973,7041.408002355,0.000890591,-2068194.9778916098,DISTRIBUTING_PRE_EMA,2.7952712890766738,,0.0644172200701378,0.0644172200701378,16.22853678356379,174.08952656159482,1119.4090622427186,190.3180633451586,1135.6375990262825,16.22853678356379,57.40497098431541,,,,,,,1.0,0.024451335250212775,0.7685863026031861,5HeKCDfd...,987142.125,,,,True,8409860,,,,,,,,
2,2,1,7,107,Minos,2026-06-15,8413607,0.035932965,0.03459480055607855,0.038681085666392695,IN BAND,False,False,0.017966351,8194.312671073,941868.213326749,1.0,227973.618343808,173612.166720674,0.003598368,-22191.729907161643,DISTRIBUTING_PRE_EMA,0.9891365995765639,,0.10014113781036438,0.10014113781036438,5.761992777585504,25.722749240526486,0.4706198756077778,31.48474201811199,6.232612653193281,5.761992777585504,2.790199268661703,,,,,,,9.156507439911366e-05,0.00870006286986804,-0.7578807407107083,5DA2vLrS...,905217.0625,0.22241923272703074,BUYBACK_GAMING,,False,7457580,0.895359304980028,,,,,,,
3,3,20,15,36,Eirel,2026-06-15,8413607,0.005670799,0.00549288559705019,0.03238978853762284,IN BAND,False,False,0.002835389,1321.951885582,461202.336328014,1.0,233099.849165385,25004.111136218,0.000386118,-9070.05017960319,DISTRIBUTING_PRE_EMA,0.8431597187414971,,0.06808881781914683,0.06808881781914683,5.636666790425175,-4.4371959582976395,0.39407576054107785,1.1994708321275356,6.030742550966253,5.636666790425175,5.698149798900688,,,,,,,0.0,0.002866316541470874,-0.4945480272760727,5GLGTwG6...,831712.1875,0.539445607301417,BUYBACK_GAMING,,True,7894898,0.0,,,,,,,
4,6,15,3,111,Claims,2026-06-15,8413607,0.0079186,0.0072882939130067825,0.08648197980440453,IN BAND,False,False,0.003959276,7183.422330328,3198703.393612566,1.0,905730.461846375,129619.947629541,0.00210738,-65952.06684838445,DISTRIBUTING_PRE_EMA,2.1968846992861017,,0.266130376581719,0.266130376581719,1.4484707775109893,23.94893776998039,1.0521974209535885,25.39740854749138,2.5006681984645778,1.4484707775109893,0.8215828967599205,,,,,,,0.0,0.0022457294242012086,-0.7163981733890827,5Do2YQao...,2881500.75,0.2942082516880601,BUYBACK_GAMING,,False,5615562,1.0,,,,,,,
5,7,17,1,23,Trishool,2026-06-15,8413607,0.006557118,0.005919554736465216,0.10770459805149071,IN BAND,False,False,0.00327853,8934.865075245,3919901.957205683,1.0,1358729.771257419,481531.391074876,0.002282501,-123640.82138627954,DISTRIBUTING_PRE_EMA,23.808445193196025,,0.34809515399905877,0.34809515399905877,0.9643096753493778,30.429440985418648,1.3104059429598036,31.393750660768024,2.2747156183091812,0.9643096753493778,0.6704249312075601,,,,,,,0.0,0.0022793593239801976,-0.6523839705217753,5CqTRwoF...,1216586.125,0.0,,,False,2063528,1.0,,,,,,,
6,4,13,14,38,ChronoLLM,2026-06-15,8413607,0.01991889,0.020525314146652818,-0.029545182223274728,IN BAND,False,False,0.004116646,5097.012973403,1150642.938418513,1.0,255455.437979031,114899.779088082,0.001436172,12846.288775932771,,-0.35389669253619604,,0.07210100562832568,0.07210100562832568,2.122526614009586,8.127820682403769,-0.3594663837165092,10.538756007461478,2.0514689413412004,2.4109353250577095,2.2839404929664995,-0.2884087110481236,1,0.0,,0.0,0.0,0.0,0.004429708646548969,-0.7776126758795813,5GeWgtBA...,210815.71875,,,,False,7284230,1.0,,,,,,,
7,5,3,21,97,Albedo,2026-06-15,8413607,0.028149895,0.02859902661293745,-0.015704437043122084,IN BAND,False,False,0.014074932,7127.425674678,584891.117447988,1.0,253162.520752187,297820.142484488,0.001613951,6830.247523375205,,-0.4224511573514108,,0.057334174781113745,0.057334174781113745,5.189660753308532,8.31700075995614,-0.19107065069131868,10.219346913960376,1.7112755033129157,1.9023461540042343,4.49314397432903,3.2873145993042976,1,0.0,,0.0,0.0,0.0,0.012185901720950333,-0.5671066723001869,5EUXD91A...,1309881.125,0.0,,,True,7735450,1.0,,,,,,,
8,8,7,6,14,Cacheon,2026-06-15,8413607,0.01362007,0.013339057099074125,0.02106692390914046,IN BAND,False,False,0.006810017,30095.69565388,2981718.448278863,1.0,2210923.595774889,2611961.859431396,0.001905731,-45281.60352509422,DISTRIBUTING_PRE_EMA,8.764166700823871,,0.13992079335862445,0.13992079335862445,0.5946606080093289,5.19322470523906,0.25631424089454224,5.787885313248388,0.8509748489038711,0.5946606080093289,0.8813709428255911,,,,,,,3.0543655157089233e-05,0.010093406260826584,-0.2589313960334577,5CKhH8nK...,1974010.625,0.3165206147122427,BUYBACK_GAMING,,False,4848444,0.8764286705802011,,,,,,,
9,25,25,24,127,Astrid,2026-06-15,8413607,0.003990853,0.0037762147840112448,0.05683951476953807,IN BAND,False,True,0.0,3911.773224616,2534864.655746652,1.0,982844.376755931,570690.224367896,-0.000883342,-42315.32700240065,,0.40314084476588935,,,,,2.3491836544977476,0.6915474296960465,2.3491836544977476,0.6915474296960465,,1.0367417424209242,7.870104090653878,1,0.0,,0.0,0.0,0.0,0.0015431881997122943,-0.6133187066242995,5FU4uxAd...,500349.125,0.008729840794341207,,,False,5848837,1.0,,,,,,,
10,9,24,25,21,AdTAO,2026-06-15,8413607,0.004510734,0.00434866757132113,0.03726806568238878,IN BAND,False,False,0.000764343,8444.275511888,3392002.873718278,1.0,1870970.324672028,516999.954956396,-1.809e-05,-125009.27370087104,,0.9895749711712511,,,,0.2378763460728071,15.202242529792134,0.4534281324690635,15.440118875864941,0.6913044785418706,0.2378763460728071,0.7747634945601369,,,,,,,0.0,0.002489465907389245,-0.4481018150506669,5HjCYVfr...,1344130.1503601074,0.1413716891263764,,,False,3156578,1.0,,,,,,,
