combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,6,20,51,122,gamma_small,2026-05-22,8240074,0.014193173,4.267157055437565e-05,331.6142632110033,PREMIUM,False,False,0.005161709,1090.999922778,43077.762338197,1.0,76867.914851616,6451.527706852,0.00120873,-1113474.5606589203,DISTRIBUTING_PRE_EMA,1.653234802007808,,0.08516277508912208,0.08516277508912208,12.433521734318438,136.4133597465704,4034.6402024005397,148.84688148088884,4047.073724134858,12.433521734318438,61.005954287225265,,,,,,,0.0,0.025326290493288033,0.7843994780651257,5F3uH1G4...,983112.5625,,,,True,8238082,1.0,,,,,,,
2,1,19,26,82,Compelle,2026-05-22,8240074,0.011186784,0.01258395565673709,-0.11102801812473675,IN BAND,False,False,0.005593404,663.977899991,193939.574916082,1.0,59352.409952078,25325.562807621,0.001546992,7233.71383547211,,-0.09265788098448591,,0.13828746492289473,0.13828746492289473,22.138486404742157,-21.851135072661943,-1.3508408871842972,-2.8609747238927206,17.639319461584925,18.990160348769223,13.550612355096376,3.148326055972935,1,0.0,,1908.2906171510112,0.0,0.0005798432976007462,0.003423632852027774,-0.6939573650454166,5H6h1PUD...,40158.2734375,,,,True,8026517,0.0361848629713577,,,,,,,
3,2,14,29,38,colosseum,2026-05-22,8240074,0.012500236,0.012707855086773634,-0.01633785444954631,IN BAND,False,False,0.006204661,2972.194193423,936155.738382929,1.0,237431.459215268,74362.332644491,0.001696763,36721.726074988546,,-0.4870502144290528,,0.1357384772575494,0.1357384772575494,5.486131809315249,0.21357250408128695,-0.19877722913614676,15.886086440000971,15.473736706783539,15.672513935919685,2.807225221456723,-10.186382126604435,1,0.0,,881.8080344279297,0.0,0.0,0.0031748928854049723,-0.7460133644352817,5CaHKFJZ...,72990.9375,,,,False,7284230,1.0,,,,,,,
4,4,18,17,96,Verathos,2026-05-22,8240074,0.011638398,0.012000841088593006,-0.030201473873153334,IN BAND,False,False,0.005819199,680.041044269,184615.624918471,1.0,58430.354883008,8031.252130557,0.001764847,4844.258602359216,,-0.025125225649217965,,0.1516400281207087,0.1516400281207087,22.488135239599874,-2.317473255957735,-0.3674512654566989,10.797999495992213,12.748021486493249,13.115472751949948,14.234981471154263,9.372662487649926,1,0.0,,1333.9491130159877,0.0,0.00018309149891138077,0.0036835508617936116,-0.6835001808845503,5CGq1JQh...,613637.375,1.1684935356124744,BUYBACK_GAMING,,True,7692872,0.850769958848618,,,,,,,
5,5,22,19,78,Vocence,2026-05-22,8240074,0.0099902,0.010031438898295164,-0.004110965407183331,IN BAND,False,False,0.004995099,849.492644387,269890.002207133,1.0,85033.016052415,18661.985098871,0.001494379,7294.127663565276,,-0.07941227927515017,,0.14958449280294692,0.14958449280294692,15.452894452632517,1.0477813579803463,-0.05001674578739719,13.539402534175238,12.441604430407494,12.491621176194892,9.737300302006311,2.961273276437625,1,0.0,,1334.6621483140043,0.0,0.0,0.003147551363295919,-0.6849361010494365,5FnQCJW2...,693730.5,,,,True,7966145,1.0,,,,,,,
6,3,16,43,69,ain,2026-05-22,8240074,0.012733899,0.013978351838886738,-0.08902715092810602,IN BAND,False,False,0.006134399,4424.086968731,598032.071205289,1.0,347420.951147668,39266.753167944,0.001436507,25998.139127751347,,-0.4071294350030892,,0.11280967439744889,0.11280967439744889,3.6439610446049135,-6.313701824261181,-1.08316366962529,6.929696605419077,12.16023476005497,13.243398429680258,4.394413153634825,-9.599437385075344,1,0.0,,827.4372368710392,0.0,0.0,0.007397741997038023,-0.41905130572827515,5HBPFVcJ...,508409.59375,,,,True,8138182,1.0,,,,,,,
7,7,30,46,57,gaia,2026-05-22,8240074,0.007495463,0.008191937580704689,-0.08501951752478767,IN BAND,False,False,0.00334667,1412.149707425,303040.075829342,1.0,188392.430418512,9523.155842367,0.000783698,15186.071194799064,,-0.2609829696546782,,0.10455631626758748,0.10455631626758748,6.228127735859839,-8.566530176001699,-1.0344041298849167,3.363029151905442,10.895155198022223,11.92955932790714,8.672120322065807,-5.701431592047302,1,0.0,,41.629795169994395,0.0,0.0,0.004659943750212948,-0.378298078422514,5HdpnCSY...,742087.125,,,,True,8057320,1.0,,,,,,,
8,9,25,9,110,Green Compute,2026-05-22,8240074,0.008647178,0.00882010324858129,-0.019605807744836213,IN BAND,False,False,0.00432358,5012.953827887,2004941.214300972,1.0,577979.059777724,162624.608475072,0.002328297,38443.27956371533,,-0.3458595918381108,,0.26925512577629374,0.26925512577629374,2.2666014150761344,17.731688931168854,-0.2385373275621739,26.00373642694366,8.033510168212635,8.272047495774808,1.3107616229617283,-6.005446080698674,1,0.08244052163230393,MINER_BURN_ONLY,5786.3576336288825,890.3576336288825,0.0,0.002500299655735682,-0.7108536847818234,5D53sX6A...,571982.9956054688,,,,False,5606062,1.0,,,,,,,
9,8,8,49,97,distil,2026-05-22,8240074,0.027112899,0.028687281301245093,-0.05488084718494263,IN BAND,False,False,0.01121481,5314.118687035,429010.321250294,1.0,195966.310051052,232151.297576949,0.0026262,12950.525164544611,,-0.2629042280702641,,0.09686164507897145,0.09686164507897145,5.546078741505136,-6.935046975413287,-0.6677169740834686,1.62211321671698,7.889443218046798,8.557160192130267,6.125726747881125,-3.011081450625131,1,0.0,,815.9694528880536,0.0,7.627904415130615e-05,0.012386925031425123,-0.543135352976267,5EUXD91A...,1190385.375,,,,True,7735450,0.0,,,,,,,
10,10,10,25,102,ConnitoAI,2026-05-22,8240074,0.015126713,0.015843882225453854,-0.04526474100531318,IN BAND,False,False,0.007563365,2035.268601463,328177.404636945,1.0,134544.70612128,68394.751196229,0.002102925,8166.172826185415,,-0.10390473694639214,,0.13902061868959897,0.13902061868959897,9.766044248760226,-15.711361792046914,-0.5507210155646436,-7.5454588202967,7.61518195618557,8.165902971750214,8.007863926242257,1.6001412770100119,1,0.0,,1202.4795870610396,0.0,7.6312106102705e-05,0.006201732881989759,-0.5900145073163113,5HidKLut...,117460.86987304688,,,,True,7840965,0.06342133573492936,,,,,,,
