combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,59,27,53,122,gamma_small,2026-05-23,8246892,0.013202071,0.0007287121843546629,17.11698951032576,PREMIUM,False,False,0.004667687,1085.496165651,47028.191414661,1.0,82221.613635555,6925.489090699,0.001085169,5353.721291556183,,-0.1022238216971533,PRICE_UP_FLOW_DOWN,0.0821968765355072,0.0821968765355072,11.30052949440255,124.39546301012459,208.25670570896338,102.22381255262596,186.08505525146475,-22.171650457498625,55.881374999692696,33.472179951901175,1,0.0,,441.4838211969909,0.0,0.0,0.023081818224304444,0.7483482875000782,5F3uH1G4...,983000.125,,,,True,8238082,1.0,,,,,,,
2,1,20,18,96,Verathos,2026-05-23,8246892,0.011082699,0.011692304397001863,-0.05213731838508906,IN BAND,False,False,0.005541323,702.221562509,188803.593921049,1.0,63361.282439417,8214.766004745,0.001688153,4931.150974856922,,-0.04345645826522072,,0.15232327432153486,0.15232327432153486,20.73789473505858,-4.914657411810895,-0.6343373736852502,7.543284385266263,11.823604423391908,12.457941797077158,13.919226564611566,8.27995293798142,1,0.0,,1681.1034410129942,0.0,0.00019835890270769596,0.003719323069679724,-0.6644027714115737,5CGq1JQh...,614475.625,0.14056130381735538,,,True,7692872,0.8514086849456877,,,,,,,
3,2,22,24,82,Compelle,2026-05-23,8246892,0.010635542,0.011463108705356717,-0.07219391585896723,IN BAND,False,False,0.005317755,684.0808533,198443.832447883,1.0,64318.651524648,25563.177474136,0.001486114,4966.483973552327,,-0.03935249826760585,,0.13973091357262282,0.13973091357262282,20.42895963625416,-19.76165949611084,-0.8783593096174346,-7.809845382212044,11.073454804281361,11.951814113898797,13.243041960954809,8.477145522355363,1,0.0,,1329.5008956289967,0.0,0.0006103608757257462,0.0034472265772213357,-0.6758767369616577,5H6h1PUD...,41575.890625,0.24309103095254891,BUYBACK_JUSTIFIED,,True,8026517,0.08200626116560783,,,,,,,
4,6,18,41,84,ansuz,2026-05-23,8246892,0.012271207,0.011313875671476126,0.08461568399036244,IN BAND,False,False,0.005899645,2457.389571136,363159.937014812,1.0,200253.325880777,16304.190446417,0.001371581,-47358.886094119924,DISTRIBUTING_PRE_EMA,8.288200348580173,,0.11177229754171697,0.11177229754171697,6.309242637842196,-10.42148391267869,1.029490821882743,-4.112241274836494,7.338733459724939,6.309242637842196,7.236481043592684,,,,,,,0.00022888556122779846,0.0067666868524535835,-0.4485720229107386,5G1hDNpP...,440139.529296875,0.7387581092572012,BUYBACK_GAMING,,True,8085297,0.0,,,,,,,
5,3,36,21,47,EvolAI,2026-05-23,8246892,0.005776479,0.006028967443853617,-0.041879218324693775,IN BAND,False,False,0.002888237,1500.129496693,844420.841488878,1.0,259679.04742375,21559.287696872,0.000835237,14707.026496518694,,-0.22988968879775173,,0.14459275278244757,0.14459275278244757,5.059754409691036,2.9260963598042826,-0.5095304896171076,10.499309743474996,7.0636828940536045,7.573213383670712,3.1121922516340614,-2.513458973979676,1,0.0,,1941.3245309051126,0.0,1.5275785699486732e-05,0.001776518796063797,-0.6924564607499141,5DDKR8DV...,11956.015625,,,ENTRY_REPEATED,False,7340355,0.962004455772773,,,,,,,
6,4,26,23,114,SOMA,2026-05-23,8246892,0.009430333,0.009834090247750282,-0.04105689876525669,IN BAND,False,False,0.004715162,2483.126170105,835272.222090317,1.0,263494.295254744,74904.02582139,0.001347386,12566.798516179231,,-0.1983958230955308,,0.1428778814067329,0.1428778814067329,4.990260215201237,8.314303394388238,-0.49952560164395643,14.890154084888511,6.076325088856317,6.575850690500273,3.1462796564972293,-1.585590475299036,1,0.0,,1839.800711716991,0.0,0.000885009765625,0.002972834609405342,-0.6847582572741236,5FHrQMjz...,594639.875,,,,False,7312241,1.0,,,,,,,
7,7,23,19,78,Vocence,2026-05-23,8246892,0.01026599,0.009971822379156947,0.029499885743845548,IN BAND,False,False,0.005132979,895.51156355,276876.190894993,1.0,87231.606554538,19285.594573942,0.001514483,2198.30522009953,,0.013453079841191528,,0.1475243011146514,0.1475243011146514,15.063422250545656,4.3363603707652345,0.3589152765501208,9.951641340731364,5.97419624651625,5.615280969966129,9.491607030221985,9.448141280579527,1,0.0,,1615.2208100169664,0.0,0.0,0.0032343393653867054,-0.684946180019004,5FnQCJW2...,687593.4375,0.0,,,True,7966145,1.0,,,,,,,
8,5,52,46,92,TensorClaw,2026-05-23,8246892,0.004483824,0.0047212084755301476,-0.05028044763549475,IN BAND,False,False,0.00195762,1998.377963976,1046617.640666944,1.0,445696.104404698,27888.351118098,0.000455118,20731.90118175134,,-0.3739762695358171,,0.10150219990793573,0.10150219990793573,2.574400565228504,-2.0154920790380038,-0.6117454462318528,4.414443880614546,5.8181905134206975,6.42993595965255,2.510945638490614,-3.855535394424046,1,0.0,,773.3909614708045,0.0,0.0,0.0019093677445590912,-0.5741653230458887,5Ck9Wu6b...,218866.06665039062,,,ENTRY_REPEATED,False,7013758,1.0,,,,,,,
9,8,30,20,36,Eirel,2026-05-23,8246892,0.007391843,0.00749225658364594,-0.013402315113596313,IN BAND,False,False,0.003695915,1024.684287482,331728.028080585,1.0,138621.449119096,10801.237169071,0.001071096,5449.82076225034,,-0.05800199991732978,,0.144902428257743,0.144902428257743,9.4788850952988,-6.06919347107865,-0.16306150054875512,-0.777449593242804,5.128682377287091,5.291743877835846,7.922152418672303,4.187141217462954,1,0.0,,1588.607281078992,0.0,0.0,0.003088928883733269,-0.5821165460720326,5GLGTwG6...,539902.375,0.0,,,True,7894898,0.0,,,,,,,
10,9,35,27,70,NexisGen,2026-05-23,8246892,0.006133843,0.006252603139728308,-0.018993711430959015,IN BAND,False,False,0.003066919,1164.98508554,405937.12884242,1.0,189920.921367257,18339.24051076,0.000836809,7487.440449604415,,-0.09919414913085227,,0.1364249133862735,0.1364249133862735,6.918426022822473,-3.006645939726687,-0.23109015574333466,2.126782973092882,4.902338757076234,5.133428912819569,6.4739089215467125,1.7849971100029043,1,0.0,,1339.1993557721144,0.0,4.5750290155410767e-05,0.00286986580622004,-0.5321259761262165,5HisJVRY...,107279.6640625,,,,True,7787562,0.0,,,,,,,
