combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust,burned_source,alpha_burned_cum,alpha_recycled_cum,recycled_tokens,recon_flag,recon_gap_relative,burn_coverage,owner_cut_emission,total_locked_alpha,locked_float_ratio,owner_locked_alpha,owner_lock_ratio,community_locked_alpha,commitment_class,gate_eligible,leader_is_owner,leader_pct_of_threshold,leader_blocks_to_threshold,governance_flag,basket_alpha,basket_share,ema_halving_days
1,1,17,12,75,Hippius,2026-08-21,8893368,0.01805292,0.018835113383829594,-0.04152846695901102,IN BAND,False,False,0.002756845,33418.897823095,3515845.728913562,1.0,1851162.936709111,1489663.362548261,-0.01292806119265099,114419.31802099827,ACCUMULATING_PRE_EMA,0.0,,,,0.21679316590127523,,-0.5052630146679674,10.94107965662574,10.435816641957773,10.94107965662574,0.7474730698187042,-10.724286490724465,1,0.0,,0.0,0.0,0.0008850232700083893,0.00950522303873152,-0.47348002213871665,5DAQpczE...,1510300.644456275,,,,False,5102795,0.0,157,5E2LP6En...,0.0,0.29874723122002195,0.29874723122002195,0.42350481480916263,,COUNTER,784604.879643725,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,552610.282545626,0.15717705643369886,552609.767120331,0.1571769098330415,0.5154252951033413,DORMITORY,True,True,1.5717690983304151,0,,7388.7235610140015,0.00210154942244784,30.0
2,2,44,13,50,Synth,2026-08-21,8893368,0.004903988,0.005038792500272393,-0.02675333430878649,IN BAND,False,False,0.000734131,11127.198096016,3271294.147969912,1.0,2269009.865903694,1194539.938434198,-0.0056701551055483215,101825.6756623364,ACCUMULATING_PRE_EMA,0.0,,,,0.17338563143679164,,-0.3254989007569023,10.39123698766894,10.065738086912038,10.39123698766894,0.8033517871301409,-10.217851356232147,1,0.0,,0.001425152993761003,0.0,0.0017090104524299932,0.0034014666956566036,-0.30638763886522485,5DxyiWpG...,2198235.6860186663,,,ENTRY_PRE_EMA_PATTERN,False,4763204,0.0,8,5G9hfkx9...,0.009994659342336155,0.3246360857936564,0.3213914587059194,0.02603348033755017,,COUNTER,467621.572125367,0.0,0.0,DIVERGENT,0.9999978380796359,0.0,1295.967040512703,212500.00519846,0.06495900264130405,212500.00519846,0.06495900264130405,0.0,DORMITORY,True,True,0.6495900264130405,,,7222.556734867004,0.0022078591554810663,30.0
3,3,24,14,93,Bitcast,2026-08-21,8893368,0.012108064,0.012238054303452373,-0.010621811296890726,IN BAND,False,False,0.002003478,18483.48725009,3352095.424734506,1.0,1526543.498426782,921867.913651714,-0.0033716791650470626,43269.25862323865,ACCUMULATING_PRE_EMA,0.0,,,,0.28485642956657775,,-0.12923203744550382,4.044043271365579,3.9148112339200756,4.044043271365579,0.7839872279913225,-3.7591868417990013,1,0.0,,0.0,0.0,3.0518043793392735e-05,0.005514009867888512,-0.5446002046331674,5EbY1Seb...,2279764.348071768,,,,False,5370681,0.9619123189843285,158,5HVydkt4...,0.179995422293431,1.1936818581877746,0.9788245880392586,0.0,,COUNTER,1085835.159306595,0.0,0.0,OK,1.0,0.0,1295.967040512703,427930.957620956,0.12766073258634908,427930.957620956,0.12766073258634908,0.0,DORMITORY,True,True,1.2766073258634907,0,,8042.309258457,0.0023991886385793955,30.0
4,4,21,15,102,ConnitoAI,2026-08-21,8893368,0.009266549,0.009389534592628479,-0.013098156401173672,IN BAND,False,False,0.002224838,4015.020597605,884891.924938762,1.0,433281.110439541,217710.069201096,-9.995717380745074e-05,13725.535355218628,ACCUMULATING_PRE_EMA,0.0,,,,1.4562501291992669,,-0.15936090288094634,3.4830151447703184,3.323654241889372,3.4830151447703184,2.9698542001972363,-2.0267650155710517,1,0.08267922138307746,MINER_BURN_ONLY,738.3508987259993,738.2157648280818,4.5777065690200125e-05,0.0045373005272738316,-0.5103570350435926,5HBc11rC...,883490.767119063,,,,False,7840965,0.2501678569248612,171,5G9hfkx9...,0.009994659342336155,1.0189116985422988,1.0087280232154474,0.03268582241008347,,COUNTER,124636.388115736,7309.092357836,0.0,DIVERGENT,-0.8047410688281712,0.5696254161957954,1295.967040512703,2002.340459168,0.0022628079234722023,2002.340459168,0.0022628079234722023,0.0,EXPOSED,False,True,0.022628079234722022,,,21984.830495089,0.024844650375366956,30.0
5,5,77,16,112,minotaur,2026-08-21,8893368,0.002245289,0.002286431612446904,-0.01799424580334325,IN BAND,False,True,7.4e-08,3394.722545215,1853545.351815799,1.0,1511931.284987551,122086.005635353,-0.0010482548438311206,20289.582409779076,ACCUMULATING_PRE_EMA,0.0,,,,5.728656684302999e-05,,-0.21892999060734283,2.5605857220809383,2.3416557314735953,2.5605857220809383,1.4178234146931001,-2.560528435514095,1,0.3282531484555672,MINER_BURN_ONLY,2363.5465123879258,2363.5014677552867,1.5259021896696368e-05,0.0018314753085967976,-0.1843030858848026,5D7Rf7Hb...,1337121.276289584,,,,False,5633022,0.7999969481490524,0,5E1ohAsz...,0.179995422293431,1.2972241085574083,1.063729707328398,0.8098580802685793,,COUNTER,946637.073471737,0.0,0.0,DIVERGENT,-0.9978798166869464,1.82373578483929,1295.967040512703,109192.016768061,0.05890981661770111,109192.016768061,0.05890981661770111,0.0,FORTRESS,True,True,0.589098166177011,,,10978.405128261998,0.005922922316147896,30.0
6,6,6,17,97,Albedo,2026-08-21,8893368,0.022635789,0.023219160502776504,-0.025124573418868663,IN BAND,False,False,0.008951225,11278.946349108,980532.857383701,1.0,498279.522856707,483192.507176517,-0.0002017478056674679,10758.613599916513,ACCUMULATING_PRE_EMA,0.0,,,,2.0856397904455313,,-0.30568230992956874,2.432370895450719,2.1266885855211504,2.432370895450719,2.6801753558897965,-0.34673110500518795,1,0.0,,0.0,0.0,7.629510948348184e-05,0.011502874446454512,-0.49182798768558444,5GnW8owm...,1625954.02358372,,,,False,7735450,0.6,28,5E2LP6En...,0.0,0.6640716073448972,0.6640716073448972,0.0009308145390179145,,COUNTER,70872.776437572,4583.298014649,0.0,DIVERGENT,1.0,0.0,1295.967040512703,7940.331821389,0.008097976280545791,7940.331821389,0.008097976280545791,0.0,DORMITORY,False,True,0.08097976280545792,,,20550.209684465004,0.02095820607103156,30.0
7,7,38,2,61,RedTeam,2026-08-21,8893368,0.007173186,0.00729592377319932,-0.01682278721855376,IN BAND,False,False,0.001013732,10801.773226031,4371525.479941773,1.0,1505854.217810646,558384.592263582,0.001606769924520486,32820.527263851836,,0.0,,0.22399669052503116,0.22399669052503116,0.24663429237524287,,-0.20467724449240407,2.2932206148446186,2.0885433703522147,2.2932206148446186,0.6011631436344742,-2.0465863224693757,1,0.0,,0.0,0.0,0.0006561379415579438,0.002470939097940446,-0.655531154783879,5ECEsYL8...,,,,,False,4457976,0.0,67,5E2LP6En...,0.0,0.301058371187917,0.301058371187917,0.5122997100564627,,COUNTER,808370.14496251,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,1021287.884224886,0.2336227682787037,1021287.884224886,0.2336227682787037,0.0,DORMITORY,True,True,2.336227682787037,0,,6866.049768244005,0.00157063016096968,30.0
8,8,49,18,1,Apex,2026-08-21,8893368,0.007818535,0.007839991711080074,-0.0027368282864062635,IN BAND,False,False,0.000320793,25098.65511039,2518435.361683092,1.0,3210147.839128652,831124.211301672,-0.002493990990679855,20745.22258793097,ACCUMULATING_PRE_EMA,0.0,,,,0.033589210270115556,,-0.033298077484609535,1.9491390065842902,1.9158409290996807,1.9491390065842902,1.0435050428467956,-1.9155497963141745,1,0.2048392323677497,MINER_BURN_ONLY,1535.4902608790435,1535.3551269811264,4.57770656900891e-05,0.009965971528296978,0.2746597064919423,5HCFWvRq...,13204.849822573,,,,False,1497824,0.5120856985900019,226,5CAQAgXx...,0.0899977111467155,0.4070850313599277,0.3704483102954453,0.03261101785441783,,COUNTER,841050.416439636,0.0,0.0,DIVERGENT,-0.9760452842335827,1.1847177273688365,1295.967040512703,192837.39240436,0.07657031637114764,192824.591394465,0.07656523344939005,12.801009894988965,FORTRESS,True,True,0.7656523344939005,,,7027.658119340997,0.002790485801725859,30.0
9,9,54,19,32,ItsAI,2026-08-21,8893368,0.003153905,0.0032046157866716385,-0.015824295343782116,IN BAND,False,False,0.000166588,7369.935163157,3504901.652116687,1.0,2336765.11621038,303867.761947068,-0.0011755096356559623,23792.267411909066,ACCUMULATING_PRE_EMA,0.0,,,,0.05940259368746822,,-0.1925289266826824,1.7424353975054516,1.5499064708227692,1.7424353975054516,0.7498070590405563,-1.6830328038179834,1,0.0,,0.0,0.0,0.008041504539558986,0.002102750917049594,-0.3332865393695771,5DWgkCSv...,33782.804678562,,,,False,2515294,0.15324267782426781,226,5FBpeAmp...,,5.214224045935725,5.214224045935725,0.0,,COUNTER,17419.272873098,0.0,0.0,OK,1.0,0.0,1295.967040512703,634410.218859858,0.18100656789520006,634410.218859858,0.18100656789520006,0.0,DORMITORY,True,True,1.8100656789520007,0,,6875.311669941001,0.0019616275583050524,30.0
10,10,62,20,66,conjectures,2026-08-21,8893368,0.002413198,0.00242535094730556,-0.00501079949648579,IN BAND,False,True,5.7166e-05,6008.597887915,3107870.7320265,1.0,2489889.469790985,1351963.017283862,-0.005772511456838813,20046.526716524735,ACCUMULATING_PRE_EMA,0.0,,,,0.025002879340979,,-0.060964727207243774,1.5082428145749653,1.4472780873677216,1.5082428145749653,0.8455950155579353,-1.4832399352339865,1,0.0,,0.0,0.0,0.0,0.0019333487155680598,-0.19884372705096734,5CJCRGep...,1038443.162163123,,,,False,4958013,1.0,155,5G9hfkx9...,0.009994659342336155,0.6156891550651552,0.6095355516995082,0.041140206311420374,,COUNTER,876389.726869251,0.0,0.0,OK,1.0,0.0,1295.967040512703,392806.591766313,0.1263909041384684,392806.591766313,0.1263909041384684,0.0,DORMITORY,True,True,1.263909041384684,0,,7205.592730665002,0.002318498210498789,30.0
