combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust,burned_source,alpha_burned_cum,alpha_recycled_cum,recycled_tokens,recon_flag,recon_gap_relative,burn_coverage,owner_cut_emission,total_locked_alpha,locked_float_ratio,owner_locked_alpha,owner_lock_ratio,community_locked_alpha,commitment_class,gate_eligible,leader_is_owner,leader_pct_of_threshold,leader_blocks_to_threshold,governance_flag,basket_alpha,basket_share,ema_halving_days
1,1,49,12,78,Umi,2026-09-16,9081446,0.003438282,0.003970990190282464,-0.1341499638014899,IN BAND,False,False,0.000339587,1380.419996814,958278.37748929,1.0,401485.471840856,158174.073772261,0.0001379181554245564,49821.856438948016,,0.0,,0.040112519980780054,0.040112519980780054,0.6464950073598855,-14.5050369936768,-1.6321578929181273,1.5522831834004691,14.425162284159143,16.05732017707727,2.742418134159947,-15.410825169717382,1,0.0,,0.0,0.0,0.0005035477225909801,0.0014405208645432762,-0.5810346956581001,5GvYz1tB...,836472.206848709,,,,False,7966145,0.0,200,5E2LP6En...,0.0,0.6586438548593371,0.6586438548593371,0.29713274228251413,,COUNTER,82861.627752537,8107.779671713,0.0,DIVERGENT,1.0,0.0,1295.967040512703,64782.909159293,0.0676034341179915,64782.909159293,0.0676034341179915,0.0,DORMITORY,False,True,0.6760343411799244,,,34717.01434866201,0.036228527288303565,30.0
2,3,2,15,90,KubeTEE,2026-09-16,9081446,0.033805254,0.03419462009333074,-0.011386764709419373,IN BAND,False,False,0.016412436,2511.097559271,317173.145584839,1.0,74281.28021786,77748.001075304,,4074.738702489165,,,,,,17.176505806696603,8.489251026016946,-0.13853897063126902,19.24233001826233,10.614540021614115,10.753078992245383,8.285695168656861,6.42342681445122,1,0.0,,0.0,0.0,1.5259021896696368e-05,0.00791711906958819,-0.765802112606869,5C9y6fnL...,436177.608447661,0.0,,,True,8618670,0.499969481490524,0,5EKtGWqs...,0.179995422293431,1.4754583492697197,1.209882600616548,0.34735235769876394,,COUNTER,0.0,111428.378760836,832.254335175996,DIVERGENT,0.26715015407122294,0.0,1295.967040512703,69129.789768097,0.21795599889337364,69129.789768097,0.21795599889337364,0.0,DORMITORY,False,True,2.1795599889337365,0,,55794.66041722301,0.17591230907756275,30.0
3,2,50,16,54,Yanez,2026-09-16,9081446,0.005128214,0.005457546561956406,-0.060344434668157476,IN BAND,False,False,0.000289841,9032.169685726,4118185.753431696,1.0,1761269.961523975,907121.146912727,-0.0018134332739084883,136508.53717555408,ACCUMULATING_PRE_EMA,0.0,,,,0.08433213441547238,8.97680173870225,-0.7341906217959159,20.147092902080526,10.436100541582361,11.170291163378277,0.6381450855659145,-11.085959028962804,1,0.11749512075837105,MINER_BURN_ONLY,896.4806020370452,893.777924078702,0.0009155413138018931,0.0021932399912265896,-0.5723189415990461,5FUfruyV...,3622957.216546474,,,,False,4742549,0.3037037037037037,139,5FeKsRjZ...,0.09999237048905166,0.49135147223030806,0.44222007377871414,0.010743007126398193,,COUNTER,594891.227476179,0.0,0.0,DIVERGENT,-0.8930474761930971,0.6896609991910834,1295.967040512703,644081.425659809,0.15639931373253238,644081.425659809,0.15639931373253238,0.0,FORTRESS,True,True,1.5639931373253235,0,,13578.390241602992,0.0032971777026541554,30.0
4,4,72,17,82,Compelle,2026-09-16,9081446,0.001995832,0.0020045749843120575,-0.0043615152241651195,IN BAND,False,True,2.4875e-05,1246.489303266,674449.968086441,1.0,624546.372414296,120240.133518846,0.0004909697292762227,21190.579056345392,,0.0,,,0.24599752347703752,0.05244449336927023,-19.698310104035365,-0.053065101894008954,-12.233987693547784,7.411257308593572,7.464322410487581,3.8965084503691187,-7.411877917118311,1,0.0,,0.0,0.0,0.0,0.0018481568125839742,-0.07399179260379919,5H6h1PUD...,367896.741917932,,,,False,8026517,0.0,5,5E2LP6En...,0.0,0.7796059886778481,0.7796059886778481,0.4342763840566441,,COUNTER,51466.221683119,7195.897335065,0.0,DIVERGENT,1.0,0.0,1295.967040512703,744.314271862,0.0011035870814462027,744.314271862,0.0011035870814462027,0.0,NEITHER,False,True,0.011035870814462027,,,36422.59323149599,0.05400340270581475,30.0
5,87,87,18,35,SN35,2026-09-16,9081446,0.00442637,0.0028033365961164236,0.5789648685541474,PREMIUM,False,True,0.0,563.41690732,29142.942632784,1.0,127286.442047252,6678.85311558,,5739.648908776944,,,,,,,47.56802835704979,7.044072567408794,47.56802835704979,7.044072567408794,,90.1762060583293,18.313397091726113,1,0.0,,0.0,0.0,0.0,0.019332876381748455,3.3676593646144486,5FjUeckL...,770639.169870427,,,,True,9046691,1.0,1,5E2LP6En...,0.0,1.0680869509446942,1.0680869509446942,0.23731192968535417,,COUNTER,0.0,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,0.0,0.0,0.0,0.0,0.0,NEITHER,False,,,,,3441.921301145,0.1181047962285405,30.0
6,6,35,19,17,404—GEN,2026-09-16,9081446,0.009249828,0.0095117527525872,-0.027536959738146658,IN BAND,False,False,0.001305323,25987.574885283,3181451.896409003,1.0,2809519.703347973,673558.039241629,-0.008483605846616416,68606.82504188037,ACCUMULATING_PRE_EMA,0.0,,,,0.1320011143457122,-4.424804483789616,-0.335033010147451,2.5157227124922903,6.605494186134456,6.940527196281907,0.8260379492037266,-6.808526081936194,1,0.0,,0.0,0.0,0.0,0.008168463874816378,-0.11690640357676076,5E7a4a7Q...,929998.01515016,,,ENTRY_PRE_EMA_PATTERN,False,2840556,1.0,251,5EhrAFV5...,0.01998931868467231,0.31921329749085176,0.312832441158922,0.4172198568572693,,COUNTER,340475.604612198,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,536444.406539187,0.16861622429202444,529783.62894677,0.16652259603382724,6660.777592416969,DORMITORY,True,True,1.6652259603382733,0,,25514.162003400004,0.008019659839018336,30.0
7,5,7,20,97,Albedo,2026-09-16,9081446,0.020593809,0.02168048475869,-0.05012229988328262,IN BAND,False,False,0.00747501,12297.748625551,1130391.068719695,1.0,597157.818531424,525170.639785418,-0.0002017478056674679,27095.57880509738,ACCUMULATING_PRE_EMA,0.0,,,,1.5973920819283163,-6.36785058390087,-0.6098213152466052,0.8025224423806971,6.560551711034962,7.170373026281567,2.324859133022458,-5.57298094435325,1,0.0,,0.0,0.0,7.629510948348184e-05,0.010879198328663098,-0.47172481163328756,5GnW8owm...,1354143.291294356,,,,False,7735450,0.0,28,5E2LP6En...,0.0,0.6362089143055194,0.6362089143055194,0.1879634998626667,,COUNTER,70872.776437572,4583.298014649,0.0,DIVERGENT,1.0,0.0,1295.967040512703,9348.370106555,0.008270031819291673,9348.370106555,0.008270031819291673,0.0,DORMITORY,False,True,0.08270031819292144,,,37258.934207351005,0.032961101019270495,30.0
8,7,57,21,40,Ralph,2026-09-16,9081446,0.003240914,0.003290292341262102,-0.015007280855524614,IN BAND,False,False,0.00016958,1641.366311037,428624.025940947,1.0,506451.556901223,80617.399650537,-1.8552276038102824e-06,14976.342099302157,ACCUMULATING_PRE_EMA,0.0,,,,0.2715154057953331,-7.844037834438344,-0.18258858374221612,-1.2937308875190583,6.36771836317707,6.550306946919286,6.131247529185563,-6.278791541123953,1,0.0,,0.0,0.0,0.0,0.003829384756101229,0.18157555433474282,5HeKCDfd...,780587.208053716,,,ENTRY_PRE_EMA_PATTERN,True,8409860,1.0,6,5E2LP6En...,0.0,0.8636404005225007,0.8636404005225007,0.24467809128504067,,COUNTER,22349.634720453,0.042920633,0.0,DIVERGENT,1.0,0.0,1295.967040512703,22427.898380107,0.05232534114454183,22427.898380107,0.05232534114454183,0.0,DORMITORY,False,True,0.5232534114454183,,,43502.58581907901,0.10149357755571198,30.0
9,8,15,22,93,Bitcast,2026-09-16,9081446,0.020027252,0.02166439895518124,-0.07556853797643454,IN BAND,False,False,0.003241683,24360.807770815,3880603.775386932,1.0,1216382.98005226,1067616.367450382,-0.0033716791650470626,73568.49232962518,ACCUMULATING_PRE_EMA,0.0,,,,0.34970691465355247,-1.5859135243972775,-0.9194172120466202,4.802986336161047,5.469482648511704,6.3888998605583245,0.6772142048276919,-6.039192945904772,1,0.011963280292115122,MINER_BURN_ONLY,100.16794333211146,100.07785406683337,3.0518043793392735e-05,0.006277581835415806,-0.6865480179000191,5EbY1Seb...,2195828.539990055,,,,False,5370681,0.5691941464605619,158,5HVydkt4...,0.179995422293431,11.522709071527679,9.448674186233706,0.0,,COUNTER,1087572.999921244,0.0,0.0,OK,-0.15569578321489402,0.07722253031006185,1295.967040512703,427930.957620956,0.11027432389133501,427930.957620956,0.11027432389133501,0.0,DORMITORY,True,True,1.1027432389133502,0,,32016.189786999,0.008250311456702814,30.0
10,9,70,23,60,Bitsec.ai,2026-09-16,9081446,0.004238184,0.004450042499229312,-0.04760819683542419,IN BAND,False,True,3.75e-05,7173.639808362,3982702.380578211,1.0,1692621.001808336,952235.972516643,0.00042835187573598795,71039.53101416654,,0.0,,,0.10106967411891224,0.013737795963093177,0.9362966635154156,-0.579233061497661,6.709522768407675,5.193993043394599,5.7732261048922595,0.659853473564968,-5.759488308929166,1,0.2031969670691569,MINER_BURN_ONLY,1476.0082365599228,1475.9631919272838,1.5259021896696368e-05,0.0018011990660774723,-0.5750068741523557,5CXLwkK1...,136008.716672734,,,,False,4796992,1.0,113,5CXLwkK1...,0.179995422293431,3.961091755857315,3.2481133725187497,0.0,,COUNTER,680652.535798064,0.0,0.0,DIVERGENT,-0.9480987012745536,1.1388894514966768,1295.967040512703,1057744.964112158,0.26558473695405627,1057744.964112158,0.26558473695405627,0.0,FORTRESS,True,True,2.6558473695405644,0,,9493.605287478002,0.0023837094465742415,30.0
