combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,1,62,62,96,Verathos,2026-04-29,8075754,0.013431427,0.005374895641580224,1.4989186573399493,PREMIUM,False,False,0.000826304,9.524762651,31617.01311143,1.0,709.142205956,334.258650636,0.000218711,195.2100398716608,,0.8689893267020448,,0.01628352668707502,0.01628352668707502,227.98750914512425,-45.41578065720697,18.236843664302715,78.19094001571077,141.84356433722047,123.60672067291775,83.11980612267074,104.3807884722065,1,0.0,,416.7482980590057,0.0,0.0,0.0003012543473803559,-0.9775709351373941,5CGq1JQh...,292837.46875,0.7239703678511219,BUYBACK_GAMING,,True,7692872,1.0,,,,,,,
2,2,60,59,82,uruz,2026-04-29,8075754,0.006932975,0.005820577032864094,0.19111472296562593,IN BAND,False,False,0.0011339,21.647974194,49138.075512338,1.0,3122.461969237,313.810059899,0.000300127,974.7277812212137,,0.23116903361310082,,0.04328978540958247,0.04328978540958247,137.65210422441805,96.46694304903146,2.3252291294151153,174.27636643672662,80.13465251711027,77.80942338769515,53.481948012802,59.842680836722906,1,0.0,,481.3315222779984,0.0,0.0,0.00044055396895966033,-0.9364552780069652,5FFPqmc9...,8812.576171875,0.0772142226995124,,,True,8026517,1.0,,,,,,,
3,3,36,50,78,Vocence,2026-04-29,8075754,0.007184753,0.007357335416600108,-0.02345719024998044,IN BAND,False,False,0.002694125,125.443682319,108903.193126995,1.0,17459.654343828,2236.86992697,0.000713097,2500.9559000136433,,0.05198271029416108,,0.09925142868516147,0.09925142868516147,56.44094919021379,6.366694068473644,-0.28539581470809533,38.09089549940762,31.438805616225885,31.72420143093398,24.131523829015897,24.716747759279812,1,0.0,,491.9919937039813,0.0,0.0,0.0011518824996500946,-0.8396768128772005,5FnQCJW2...,124167.0,0.06819061116884005,,,True,7966145,1.0,,,,,,,
4,63,29,55,57,gaia,2026-04-29,8075754,0.010898123,0.0018619250040501356,4.853148207523909,PREMIUM,False,False,0.003124747,1027.198209653,168220.378788584,1.0,94254.93995422,2647.259898979,0.000827076,-10695.153746922952,DISTRIBUTING_PRE_EMA,0.9481789616006105,,0.07589160078299723,0.07589160078299723,7.994401702446559,111.10425785991643,59.04663652487422,72.68404170124421,20.626420366202005,-38.42021615867222,15.622364061507778,46.41461786111878,1,0.0,,980.9206805820049,0.0,0.0,0.006106264990307519,-0.4396957172985183,5HdpnCSY...,875562.9375,0.0,,,True,8057320,1.0,,,,,,,
5,5,16,35,102,ConnitoAI,2026-04-29,8075754,0.010974892,0.010955477133393288,0.001772160753047811,IN BAND,False,False,0.005487425,541.107468128,180926.205792123,1.0,49303.666530187,4746.090050344,0.001722949,2943.1723702911404,,0.019566431778749366,,0.15699006423024484,0.15699006423024484,26.650811066959243,-14.696515181799631,0.0215612891620817,-2.3849103999145544,12.333166071047158,12.311604781885077,14.525259005428254,14.339206285074166,1,0.0,,1017.6645465979818,0.0,3.0525028705596924e-05,0.0029907633654226466,-0.727490405789629,5HidKLut...,85233.609375,0.22202727214975546,BUYBACK_GAMING,,True,7840965,0.9136312987463993,,,,,,,
6,4,6,22,107,Minos,2026-04-29,8075754,0.023808745,0.024729832774028182,-0.03724601708570911,IN BAND,False,False,0.011904341,2829.898055635,581239.729758843,1.0,118804.711057748,53376.353171051,0.004125482,11574.03371686909,,-0.15109381899772054,,0.17327591185507676,0.17327591185507676,11.055030086933664,23.188328441914415,-0.45315987454279416,35.68098488719129,12.039496570734082,12.492656445276877,4.521370211720318,-1.4376263583432123,1,0.0,,1511.459101583925,0.0,0.0,0.004868727842828514,-0.795506741626721,5DA2vLrS...,102562.6953125,,,,True,7457580,1.0,,,,,,,
7,6,26,38,36,automata,2026-04-29,8075754,0.007165203,0.007075655739754438,0.012655683591619954,IN BAND,False,False,0.003582593,347.452601172,180490.327368966,1.0,48491.780674795,1854.471395653,0.001054731,2769.795070105254,,0.030205917918043074,,0.14720183084833743,0.14720183084833743,27.097377807050144,7.662312521424553,0.15397748369804276,19.446410113408575,11.938075075682065,11.784097591984022,14.560337045805953,15.313280215066122,1,0.0,,762.6721239509934,0.0,0.0,0.0019250483183052942,-0.7313337363497875,5GLGTwG6...,208528.5,0.0,,,True,7894898,1.0,,,,,,,
8,7,3,39,97,distil,2026-04-29,8075754,0.046336629,0.04707319219596684,-0.015647190292523865,IN BAND,False,False,0.023168286,3791.12525372,319314.116403242,1.0,81784.95266888,156207.778579364,0.006743481,4019.313600651527,,-0.013299244861233123,,0.14553240374909449,0.14553240374909449,16.060206807531888,-1.2484135766229159,-0.19037414855904033,8.345653159744868,9.403692587808743,9.594066736367784,8.230140369620432,6.466140071164103,1,0.0,,1222.3090679290472,0.0,0.0,0.011872714230185873,-0.7437725944589998,5EUXD91A...,998368.3125,0.4664033095734898,BUYBACK_GAMING,,True,7735450,0.0,,,,,,,
9,9,4,32,15,ORO,2026-04-29,8075754,0.032645488,0.032457236433401704,0.005799987530810448,IN BAND,False,False,0.016322713,3797.675671222,660721.971908044,1.0,116231.033277245,95009.316719273,0.005255153,5857.501604008066,,-0.05920010168578192,,0.16097639588049656,0.16097639588049656,11.295353652513743,1.0784611474621448,0.07056651495819379,10.3476838678144,9.33978923531045,9.269222720352255,3.977467243008156,2.0261309321614878,1,0.0,,1292.6390551801305,0.0,1.52587890625e-05,0.005747766583658492,-0.8239338133447878,5GE9r7GM...,,,,,True,7366897,0.7500076295109483,,,,,,,
10,8,34,31,53,EfficientFrontier,2026-04-29,8075754,0.005691693,0.005827189423143864,-0.023252448702922184,IN BAND,False,False,0.002845846,14408.966837001,2380764.544596742,1.0,2530815.954800791,453364.561779447,0.000928764,67495.21087214211,,-0.5821815664209954,,0.16317886435547385,0.16317886435547385,0.5190436880453402,6.905344043030287,-0.2829047925522199,16.48628549812471,9.298036662542202,9.580941455094422,1.1038470838976373,-9.061897767049082,1,0.0,,4054.4701049774885,0.0,0.0,0.006052243540715874,0.06334680045390245,5Fv2Qm2w...,67191.1171875,,,,False,4203869,1.0,,,,,,,
11,10,13,43,85,Vidaio,2026-04-29,8075754,0.012679468,0.013247293652966619,-0.04286352124756135,IN BAND,False,False,0.005803469,18990.254251902,2619573.531034909,1.0,1492439.751698502,1149766.442789315,0.001536096,63621.88252512715,,-0.6435042456547833,,0.12114830054383986,0.12114830054383986,0.8031233457799788,1.3133364506516014,-0.521506175178663,9.911908887628456,8.077066261798192,8.598572436976855,1.0032167331305115,-7.795449091196877,1,0.0,,2917.8305834977727,0.0,0.0006866822950541973,0.007249368657500353,-0.42825924104226193,5GTPBjA4...,2822549.5,,,,False,5258781,0.8070239671580055,,,,,,,
12,11,24,20,70,NexisGen,2026-04-29,8075754,0.007504496,0.0074915352743119,0.0017300493441633783,IN BAND,False,False,0.003752234,659.511902236,271521.431071318,1.0,87883.111236376,12925.378792117,0.001315045,3772.2180162471923,,-0.015737924303480703,,0.17523428621988738,0.17523428621988738,14.95177102728221,11.38435063386805,0.0210489336873211,18.777667450144072,7.414365749963343,7.393316816276022,9.678794007644015,7.558454211006187,1,0.0,,1519.249610042083,0.0,0.0,0.002428949713596538,-0.6763340651262205,5HisJVRY...,77413.484375,0.12067247722733569,,,True,7787562,1.0,,,,,,,
13,12,11,25,91,Bitstarter #1,2026-04-29,8075754,0.013678878,0.01339590665884316,0.02112371699529872,IN BAND,False,False,0.006839419,1376.369881784,360925.317432173,1.0,100627.848638305,13261.589730163,0.002341527,2637.244593532043,,0.006913933610240474,,0.17117829400920162,0.17117829400920162,13.058984630427085,11.77137628238519,0.2570052234428011,17.865412668917024,6.351041609974635,6.094036386531833,7.28128472310305,6.964948243895252,1,0.0,,1404.7827214569552,0.0,0.0,0.0038134478666563883,-0.7212163258816704,5HEe7NjS...,59201.8671875,0.0801994898934358,,,True,7633645,1.0,,,,,,,
14,13,22,16,99,Leoma,2026-04-29,8075754,0.007876916,0.007905126549303532,-0.003568639809569862,IN BAND,False,False,0.003938447,1164.140019578,621770.625997176,1.0,147787.29597931,35077.593808321,0.001459626,3453.1579732701066,,-0.0186167691443978,,0.18530424851553579,0.18530424851553579,8.890888159443188,27.37856634148798,-0.04341845101643332,32.991993979786805,5.5700091872823965,5.6134276382988295,4.226639037161489,3.2774605211443584,1,0.0,,1813.4396086669294,0.0,0.0,0.001872298193101337,-0.7623056799004412,5FxogcQr...,657439.75,0.297904872951388,BUYBACK_GAMING,,True,7415113,1.0,,,,,,,
15,14,18,30,114,SOMA,2026-04-29,8075754,0.00991068,0.009889330249279737,0.002158867201529377,IN BAND,False,False,0.004955333,1822.290514765,678942.920035641,1.0,184021.908761414,49777.963682297,0.001639638,6443.881960574683,,-0.06874254190589837,,0.16544152368959547,0.16544152368959547,7.146289254366985,-1.906574836738056,0.02626621761860742,3.589499907388161,5.522340961744824,5.496074744126217,3.8707230349526935,1.6502145102407684,1,0.0,,1281.69150169997,0.0,0.00044252583757042885,0.0026840113667719505,-0.7291798981732888,5FHrQMjz...,461983.4375,0.0,,,True,7312241,0.8490977883632034,,,,,,,
16,16,50,46,30,Pending,2026-04-29,8075754,0.004576201,0.00462525337934494,-0.010605338847811856,IN BAND,False,False,0.001891711,9381.524478862,2878734.403328326,1.0,2049067.494460007,296156.312852787,0.000500709,47996.967283343896,,-0.5818246050079926,,0.10941586700409357,0.10941586700409357,0.5299156356945351,1.8215092681155483,-0.1290316226483776,7.220340917454914,5.269800026690988,5.398831649339366,0.9129011682917213,-4.868916013644831,1,0.0,,842.0121389622273,0.0,0.0,0.003258905881701104,-0.2878577925879777,5HTogQKF...,15789.7490234375,,,,False,3250216,1.0,,,,,,,
17,15,41,29,47,EvolAI,2026-04-29,8075754,0.004816262,0.004920875653624535,-0.021259154058786284,IN BAND,False,False,0.002408127,924.400469158,671918.57092084,1.0,191941.553986217,11590.599589365,0.000803781,6773.575501069456,,-0.07717133354075839,,0.16688896908017048,0.16688896908017048,6.846121315542423,4.286769058249114,-0.25865304104856646,9.70311509676417,5.157692997466491,5.416346038515057,3.9111882209155513,1.4297752770273668,1,0.0,,1398.9929528069915,0.0,0.00019834470003843307,0.0013757626432190178,-0.714350539231666,5DDKR8DV...,1405.0189208984375,,,,True,7340355,0.9791825651098732,,,,,,,
