combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,1,16,29,82,Compelle,2026-05-18,8211470,0.011951246,0.016607932513579726,-0.2803892964866106,DISCOUNT,True,False,0.005952137,508.529456405,170425.652690441,1.0,42549.363844402,22362.104296414,0.001540728,11380.807775254147,,-0.19777816655003494,,0.1289177714189801,0.1289177714189801,30.759704947243645,-31.755392498807453,-3.4114031072537623,2.9516513905443205,31.295640782098012,34.70704388935177,15.420213791250465,-3.9473389421081255,1,0.0,,1283.2966055909637,0.0,0.000595117686316371,0.0029838785909107623,-0.7503290794189358,5H6h1PUD...,49097.05078125,,,,True,8026517,0.05406437002226827,,,,,,,
2,2,13,28,102,ConnitoAI,2026-05-18,8211470,0.013730329,0.017412201268598437,-0.2114535785454313,DISCOUNT,True,False,0.006865154,1729.48148553,297464.073506663,1.0,125956.214369657,60509.256781972,0.001872355,20760.620302033814,,-0.31295296785104765,,0.136366360922597,0.136366360922597,10.431811420329336,-29.467817150238297,-2.5726852056360805,-7.007775814447246,19.88735613015497,22.46004133579105,8.834680333055866,-12.028229915461715,1,0.0,,179.5568104410777,0.0,6.1031896620988846e-05,0.005814085261261848,-0.5765516426254718,5HidKLut...,110372.0234375,,,,True,7840965,0.0,,,,,,,
3,3,52,52,83,CliqueAI,2026-05-18,8211470,0.006430549,0.006952918134629726,-0.07512948153783276,IN BAND,False,False,0.001483994,6127.822438463,1871127.326935176,1.0,952176.469360737,123564.975439819,0.000337272,97434.05042257975,,-0.8698577384158755,,0.05244839904026857,0.05244839904026857,0.6364310113688925,-0.929158580988361,-0.9140753587102985,16.3990207329917,16.414103955269763,17.328179313980062,1.4045008921464195,-16.69174830261117,1,0.0,,885.9474162552451,0.0,0.0018158112652599812,0.0032749361041613896,-0.4907221600890702,5DqEjRLy...,781655.75,,,,False,5231190,0.25551852879073933,,,,,,,
4,4,37,46,113,TensorUSD,2026-05-18,8211470,0.00569108,0.006383586674928665,-0.10848237992106584,IN BAND,False,False,0.002468222,2410.845850745,1022457.735977662,1.0,423640.919123082,41423.76514723,0.00056096,48927.034580738924,,-0.6322261085633176,,0.098568285808669,0.098568285808669,2.690544239481568,-7.045466806784304,-1.319868955706301,9.081913761171414,14.807511612249417,16.12738056795572,2.570277389008297,-13.436836328474152,1,0.0,,426.4953950189247,0.0,0.0,0.002357892914213982,-0.5856862117183413,5C85m1bf...,178520.78125,,,ENTRY_REPEATED,False,7119664,1.0,,,,,,,
5,5,14,15,67,Harnyx,2026-05-18,8211470,0.013193324,0.014926513656973839,-0.11611483410019682,IN BAND,False,False,0.006596642,1684.555967978,376185.025260167,1.0,127686.472514478,24334.340939179,0.002076777,14928.51556593024,,-0.20867593114398414,,0.15741120281742496,0.15741120281742496,10.291124489504885,-1.0680766175492982,-1.4127304815523947,13.82774076665078,13.483086902647685,14.895817384200079,6.985924009554854,-4.6046928946951935,1,0.0,,680.9611044810154,0.0,1.5243887901306152e-05,0.004477998471132583,-0.660586030394419,5HEAv3TU...,252782.8125,,,ENTRY_REPEATED,False,7236936,0.8700064125144482,,,,,,,
6,6,17,21,96,Verathos,2026-05-18,8211470,0.011612468,0.011647625593468547,-0.003018434374149255,IN BAND,False,False,0.005806192,511.280779985,160076.595495143,1.0,44028.179536708,7311.618668539,0.001751192,3600.050984847214,,0.012841022793654117,,0.15080274064049087,0.15080274064049087,29.844017560072686,-18.72525912243562,-0.0367242848854826,-5.381623931574794,13.306910905975345,13.343635190860827,16.417140756093467,16.50038236921186,1,0.0,,276.39810356200906,0.0,7.628044113516808e-05,0.0031939758488961187,-0.7249528826347579,5CGq1JQh...,630781.4375,2.0078180629947524,BUYBACK_GAMING,,True,7692872,0.8506790802771316,,,,,,,
7,7,30,38,99,Leoma,2026-05-18,8211470,0.005574161,0.005853366339579225,-0.04769995988313544,IN BAND,False,False,0.00278708,1398.599469141,714235.562890015,1.0,250963.600736665,56871.524058398,0.000639346,20520.71657824659,,-0.3304653522684314,,0.11469815816227769,0.11469815816227769,5.236986286358718,-7.216563143157671,-0.5803495119114812,2.6796151044960492,9.31582873574224,9.89617824765372,3.6794583419597737,-4.659191961295003,1,0.0,,0.0,0.0,0.0,0.001958176744212848,-0.6487046670857107,5FxogcQr...,936377.8125,,,ENTRY_PRE_EMA_PATTERN,True,7415113,1.0,,,,,,,
8,8,44,44,55,NIOME,2026-05-18,8211470,0.005049845,0.005297139985486865,-0.046684623431588634,IN BAND,False,False,0.002218426,8605.966903922,2910457.27713353,1.0,1702767.614526863,425127.830385755,0.000504188,78392.3327890858,,-0.7328002637083564,,0.09984227238657821,0.09984227238657821,0.677439687264319,-5.545174480781094,-0.567996251750995,3.9406704775542156,8.917848706584316,9.48584495833531,0.9029508938843732,-8.80840527107099,1,0.0,,3657.807881456434,0.0,4.575401544570923e-05,0.002956912294001409,-0.41445484089087703,5GeWUxaF...,125625.2109375,,,,False,4703386,0.020005493266389895,,,,,,,
9,9,25,18,36,Eirel,2026-05-18,8211470,0.007647168,0.008154017617926002,-0.062159495070470555,IN BAND,False,False,0.003823572,906.643499899,304830.679009859,1.0,118558.026255738,8786.531231174,0.001198187,8287.568684704893,,-0.09952593456574307,,0.15668375534576984,0.15668375534576984,11.08301908867089,-9.21378451660204,-0.756273856690725,-0.08526298474832572,8.372247675162988,9.128521531853714,8.621179497208692,1.9544975568171752,1,0.0,,890.1801357769873,0.0,0.0,0.0029742527977955815,-0.6110648023169386,5GLGTwG6...,428720.78125,,,,True,7894898,0.0,,,,,,,
10,10,10,27,91,Bitstarter #1,2026-05-18,8211470,0.015384782,0.016595779918134212,-0.07297023243908864,IN BAND,False,False,0.00769238,2585.404681764,485341.968175004,1.0,168053.283876706,30937.636105206,0.002155378,11938.900650284428,,-0.17088632671658938,,0.14009805273808884,0.14009805273808884,7.819114269649687,-10.312338308351718,-0.8878044946755783,-1.4807232125892362,7.943810601086904,8.831615095762482,5.4147388281336495,-1.0125008261127937,1,0.0,,211.5495515349321,0.0,0.0,0.005326975310801389,-0.6537503546815685,5HEe7NjS...,83633.7265625,,,,True,7633645,1.0,,,,,,,
