combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust,burned_source,alpha_burned_cum,alpha_recycled_cum,recycled_tokens,recon_flag,recon_gap_relative,burn_coverage,owner_cut_emission,total_locked_alpha,locked_float_ratio,owner_locked_alpha,owner_lock_ratio,community_locked_alpha,commitment_class,gate_eligible,leader_is_owner,leader_pct_of_threshold,leader_blocks_to_threshold,governance_flag,basket_alpha,basket_share,ema_halving_days
1,1,4,14,103,Capcomp,2026-09-01,8973595,0.020564832,0.017201561480760574,0.19552123352296497,IN BAND,False,False,0.010264033,1335.372746027,263719.268327177,1.0,64934.775077372,18720.545717478,,-798.8103774212577,,,,,,20.19951268606662,59.59572089580174,2.378841674529407,65.8223234489511,8.605444227678767,6.226602553149361,9.965142162989906,13.972910132917258,1,0.0,,0.0,0.0,9.15541313801782e-05,0.005063614632702157,-0.7537731097097143,5H3SQ4du...,1017334.370867639,0.0,,,True,8762380,0.9010667032916724,1,5E2LP6En...,0.0,0.9195249516932347,0.9195249516932347,0.10837122714926603,,COUNTER,58456.632985645,0.014698804,0.0,DIVERGENT,1.0,0.0,1295.967040512703,0.0,0.0,0.0,0.0,0.0,NEITHER,False,,,,,52140.17252615801,0.19771089483484974,30.0
2,2,61,15,21,AdTAO,2026-09-01,8973595,0.003614099,0.003682047827169299,-0.01845408597572106,IN BAND,False,False,0.000102372,7692.723359416,3742390.566996009,1.0,2128531.018206272,582865.178100372,-0.0017317969702688176,54782.78564385581,ACCUMULATING_PRE_EMA,0.0,,,,0.034972480281732624,-3.2017622259045786,-0.22452471270460625,1.4732461444658562,4.450483657665829,4.675008370370435,0.7022249423072583,-4.640035890088702,1,0.05445893569827498,MINER_BURN_ONLY,403.6163999090204,403.210998215269,0.0001373311970702673,0.002055564009608675,-0.43123749249572985,5HjCYVfr...,1941732.019606949,,,ENTRY_REPEATED,False,3156578,0.6544425113695327,160,5CyUYf13...,,19.252425606110027,19.252425606110027,0.0,,COUNTER,828657.897803848,0.0,0.0,DIVERGENT,0.5009030046870062,0.3111275098908017,1295.967040512703,5839.628796876,0.00156040068302209,5839.628796876,0.00156040068302209,0.0,EXPOSED,True,True,0.015604006830220903,,UNDEFENDED_BURNER,9701.276804152996,0.002592267330328417,30.0
3,3,70,16,54,Yanez,2026-09-01,8973595,0.003975596,0.004065466579049826,-0.02210584623003602,IN BAND,False,True,7.0527e-05,7939.181118773,3771540.497329481,1.0,1996978.627599955,865113.792707683,-0.0018134332739084883,51277.25287221512,ACCUMULATING_PRE_EMA,0.0,,,,0.023345601168076772,-8.557627862827806,-0.26895446246543825,-4.255901762404341,4.032771637958026,4.301726100423465,0.6967975027341775,-4.2783804992553875,1,0.10908443044066926,MINER_BURN_ONLY,801.3680382750463,799.3410298062892,0.0006866559853513365,0.0021050234312463318,-0.47051374655615613,5FUfruyV...,3381740.354487085,,,,False,4742549,0.30148114215910826,59,5DUB7kNL...,0.01998931868467231,0.3574680158404269,0.35032247375221515,0.8207080726384861,,COUNTER,581432.184567475,0.0,0.0,OK,-0.0223954858843872,0.6167911720116419,1295.967040512703,644081.425659809,0.17077409777672134,644081.425659809,0.17077409777672134,0.0,FORTRESS,True,True,1.7077409777672132,0,,8930.969783988994,0.0023679898943979936,30.0
4,4,14,17,3,Teutonic,2026-09-01,8973595,0.027937244,0.02820582571439445,-0.009522207118275686,IN BAND,False,False,0.003846364,78351.097368895,3127070.619128446,1.0,2804539.187865583,3432768.227270422,-0.03954664999786193,35114.05286253011,ACCUMULATING_PRE_EMA,0.0,,,,0.12901216360005857,-2.500946398208819,-0.11585351993902084,0.8447143378851765,3.229807216154975,3.3456607360939956,0.840403150451542,-3.216648572493937,1,0.0,,0.0,0.0,7.629510948348184e-05,0.025055749265660152,-0.10314169623674575,5GsGUrd2...,3077700.184328274,,,,False,4165565,0.0,217,5FeKsRjZ...,0.09999237048905166,0.33338807425086814,0.3000518104137439,0.003555406353953673,,COUNTER,578475.334942498,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,387764.684385661,0.12400253515660477,387636.2684118,0.12396146925515839,128.4159738610033,DORMITORY,True,True,1.2396146925515859,0,,11166.007117679002,0.0035707563012411627,30.0
5,5,52,18,26,Perturb,2026-09-01,8973595,0.003758212,0.0038346871733665466,-0.01994300184320059,IN BAND,False,False,0.000222127,2070.657626297,900888.058848515,1.0,550968.71093461,63633.831344239,-0.00014188253281285655,12186.644190050196,ACCUMULATING_PRE_EMA,0.0,,,,0.2819151503302512,-1.9809884051720548,-0.2426398557589405,0.45925139584882113,2.1975999452619353,2.440239801020876,2.91712158262928,-2.158324650690625,1,0.0,,0.0,0.0,6.103608758678547e-05,0.0022984627290361086,-0.38841589323962866,5FsVAEPM...,1485503.565186254,,,ENTRY_REPEATED,True,8123781,0.7000350978926004,143,5CDK1b4s...,0.0899977111467155,0.6172133634292033,0.5616655734314091,0.10910533624280896,,COUNTER,93577.704880545,1668.571827101,0.0,DIVERGENT,1.0,0.0,1295.967040512703,42528.577205969,0.04720739362482793,38919.133093485,0.04320085354803141,3609.4441124840014,DORMITORY,False,True,0.43200853548031576,,,29761.146872462003,0.03303534393662816,30.0
6,6,12,19,53,engy,2026-09-01,8973595,0.028851147,0.029690696159377694,-0.028276506380013763,IN BAND,False,False,0.004005751,34008.271222993,4695223.619482656,1.0,1178749.375477145,1419705.346780196,-0.0011223092088040443,30195.9105448809,ACCUMULATING_PRE_EMA,0.0,,,,0.30954568548849426,0.46858795560979355,-0.3440308276235008,2.5478943587001552,1.735275575466861,2.079306403090362,0.5597177499906951,-1.7697607176018675,1,0.0,,0.0,0.0,0.0010986495765621385,0.007243163261037651,-0.7489471298649704,5H8SFVCx...,1893990.615118711,,,,False,4203869,0.15292608038128408,45,5E2LP6En...,0.0,0.22188458229205604,0.22188458229205604,0.22157790325041965,,COUNTER,523639.952582965,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,113449.607177646,0.024162769736225356,99316.627876023,0.021152693870407437,14132.979301622996,DORMITORY,True,True,0.21152693870407435,,,12089.302346334998,0.0025748086408857902,30.0
7,7,29,4,61,RedTeam,2026-09-01,8973595,0.011906126,0.011978702619671822,-0.0060588046949787665,IN BAND,False,False,0.00163041,14029.873838305,4789417.438528917,1.0,1178374.374680419,606081.244356904,0.001606769924520486,26950.051592607982,,0.0,,0.13495321018108544,0.13495321018108544,0.3053995730383312,35.56764778891816,-0.07371545712224166,37.374790374445226,1.7334271284048248,1.8071425855270664,0.5487097405331196,-1.5017430124887352,1,0.0,,0.0,0.0,0.00039673456931410556,0.002929348718998759,-0.7539628995192258,5ECEsYL8...,,,,,False,4457976,0.0,161,5Ft6tUwe...,,0.28042492129543456,0.28042492129543456,0.10437967343201587,,COUNTER,808370.14496251,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,1021287.884224886,0.21323843605884923,1021287.884224886,0.21323843605884923,0.0,DORMITORY,True,True,2.1323843605884925,0,,14946.58167266,0.0031207515036005893,30.0
8,9,32,20,17,404—GEN,2026-09-01,8973595,0.009469213,0.009507018374279141,-0.003976575282679765,IN BAND,False,False,0.001315842,26149.838568501,3106618.252757276,1.0,2761563.835307299,660834.196091845,-0.008483605846616416,17907.230562794954,ACCUMULATING_PRE_EMA,0.0,,,,0.1322391634251005,-0.2504141771147827,-0.048381665939270464,1.121483482595392,1.3235159937709045,1.3718976597101749,0.8459359297420985,-1.2396584962850743,1,0.0,,0.0,0.0,0.0,0.008417461187994931,-0.11107066785857168,5E7a4a7Q...,1128571.197792168,,,,False,2840556,1.0,42,5CcEPLdb...,0.0,0.30402127971330817,0.30402127971330817,0.004211747112053837,,COUNTER,340475.604612198,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,516307.845956651,0.16619610262651438,510640.820497837,0.1643719243729474,5667.025458814052,DORMITORY,True,True,1.643719243729474,0,,11752.662739165009,0.0037831049015224012,30.0
9,8,21,21,28,gm,2026-09-01,8973595,0.018071421,0.018374287988990545,-0.016483195929660816,IN BAND,False,False,0.002473589,20339.631607192,4846305.726845803,1.0,1125513.7112658,6470919.397419572,-0.0018433106521580824,23060.916146585252,ACCUMULATING_PRE_EMA,0.0,,,,0.31960224342025056,0.9532424402397766,-0.2005455504775399,2.4555327876886905,1.301744796971374,1.502290347448914,0.5422687193344738,-1.1826881040286634,1,0.04425289348129761,MINER_BURN_ONLY,363.224203200778,362.23322128271894,0.0003356984817273201,0.004196935305695202,-0.7677584233306721,5CA6rwAy...,2593762.766090278,,,,False,4878363,0.10660479599468808,219,5FHBJCMk...,,1.4749573735865507,1.4749573735865507,0.0,,COUNTER,1391813.352115468,33762.848582854,0.0,DIVERGENT,0.5867075308494958,0.2795080507135539,1295.967040512703,434350.80900947,0.08962513582323361,434344.502651163,0.08962383455198446,6.306358306959737,FORTRESS,True,True,0.8962383455198445,,,13227.512082949006,0.0027294010796050368,30.0
10,84,84,22,70,SN70,2026-09-01,8973595,0.012056761,0.011036245850846171,0.09246941060809939,IN BAND,False,True,0.0,792.22077385,183810.479134791,1.0,65707.591874601,8005.695298255,,-1418.588883644159,,,,,,,22.45620422854462,1.125044495731876,22.45620422854462,1.125044495731876,,14.297335017949917,16.252268696468676,1,0.369002059144167,MINER_BURN_ONLY,2656.8148258380024,2656.8148258380024,0.0,0.00430998699083447,-0.6425253025390094,5EP42hSo...,597069.529620312,0.0,,,True,8825571,1.0,1,5E2LP6En...,0.0,2.1386453092432096,2.1386453092432096,0.9728385265663625,,COUNTER,58449.926168277,0.0,0.0,DIVERGENT,-0.7052861974477167,2.0500635762981507,1295.967040512703,0.0,0.0,0.0,0.0,0.0,EXPOSED,False,,,,,34378.391821007994,0.18703172954463493,30.0
11,11,9,23,44,Score,2026-09-01,8973595,0.037641247,0.038391371723264456,-0.01953888828645035,IN BAND,False,False,0.005247218,66668.243862248,4075487.300055361,1.0,1771148.682808736,2167198.738511325,-0.0010141890605900883,17367.27751992503,ACCUMULATING_PRE_EMA,0.0,,,,0.2068404401425765,-5.387845894576992,-0.23772314081847926,-4.283651043842559,0.8664717099159536,1.1041948507344328,0.6448308647567866,-0.8973544105918563,1,0.0,,0.0,0.0,0.0,0.016358349064501412,-0.5654142631220105,5CaCekux...,258466.756776165,,,,False,3550319,1.0,65,5E2LP6En...,0.0,0.27154342538084497,0.27154342538084497,0.22276819777201282,,COUNTER,506457.808183131,2206.282255223,0.0,DIVERGENT,1.0,0.0,1295.967040512703,245862.449528441,0.06032712935336622,245862.449528441,0.06032712935336622,0.0,DORMITORY,True,True,0.6032712935336622,,,11122.050333799001,0.002729011162333378,30.0
12,10,23,24,49,Nepher Robotics,2026-09-01,8973595,0.008389596,0.008645574795082211,-0.029608071313872452,IN BAND,False,False,0.002165333,4308.943552184,2208679.168541593,1.0,513605.672016092,145982.863851261,-3.683535129229573e-05,7375.749930124206,ACCUMULATING_PRE_EMA,0.0,,,,1.3206241982714668,-10.288092291005768,-0.36023153431878147,-9.08597123030367,0.841889526383317,1.2021210607020985,1.1898513996196594,0.11850313756936834,1,0.0,,0.0,0.0,1.5259021896696368e-05,0.0019509141995617347,-0.7674602925383135,5FL781vf...,1731123.235744324,,,,False,6783158,0.9900051881466109,7,5E2LP6En...,0.0,0.5396144128441797,0.5396144128441797,0.0018617427132611019,,COUNTER,747110.292384815,837.682351088,0.0,DIVERGENT,1.0,0.0,1295.967040512703,462097.602286592,0.2092189797722946,462097.602286592,0.2092189797722946,0.0,DORMITORY,False,True,2.0921897977229458,0,,16461.007896142,0.007452874156915839,30.0
