combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,67,67,14,99,gani,2026-07-12,8605411,0.0144063,0.006075933808460832,1.3710429465079104,PREMIUM,False,True,0.0,1253.156452159,69774.197877319,1.0,86986.696831118,12008.865236599,,1052.0807435787574,,,,,,,394.09844024721275,16.68102251584624,394.09844024721275,16.68102251584624,,37.66435272564079,35.29972777490298,1,0.0,,0.0,0.0,0.0,0.017960169952256157,0.2466885982005204,5DebFXsw...,970437.0625,,,,True,8572056,1.0,,,,,,,
2,1,47,5,60,Bitsec.ai,2026-07-12,8605411,0.004705348,0.0049489950761199,-0.04923162629430692,IN BAND,False,False,0.000744695,7446.866918419,3576424.138887103,1.0,1582638.785532571,825997.775972548,0.000428351,96271.80521536991,,0.0,,0.09103492451567875,0.09103492451567875,0.2628029319497348,-13.878166455408486,-0.5989847865807342,-4.857206733553754,8.421974935273997,9.020959721854732,0.7348121749390077,-8.758156789904998,1,0.0,,0.0,0.0,1.5288591384887695e-05,0.002082210227094677,-0.5574800786053068,5CXLwkK1...,50088.65625,,,ENTRY_PRE_EMA_PATTERN,False,4796992,1.0,,,,,,,
3,2,58,15,21,AdTAO,2026-07-12,8605411,0.004584214,0.004714146489277482,-0.02756225110378286,IN BAND,False,False,0.000515457,8578.364563253,3597996.428479095,1.0,1871283.256904615,549391.840937672,-0.001731796,49265.63064516988,ACCUMULATING_PRE_EMA,0.0,,,,0.15791133449874206,-1.1738990657284842,-0.3353407217626915,3.1351164121553667,3.97367475612116,4.309015477883851,0.7304065060205963,-4.151104143385109,1,0.0,,134.32757575109554,0.0,0.0006408507470041513,0.0023842059695648866,-0.47990953965829547,5HjCYVfr...,1552500.9134521484,,,,False,3156578,0.7486296316848666,,,,,,,
4,3,9,16,102,ConnitoAI,2026-07-12,8605411,0.013970302,0.014542366610839963,-0.039337793231917446,IN BAND,False,False,0.007018491,4117.758023162,666050.50302674,1.0,294750.808952679,142364.875494359,-9.9957e-05,8879.952195969643,ACCUMULATING_PRE_EMA,0.0,,,,4.4792807746960595,5.432102698487108,-0.47860981765499555,9.119662399322493,3.2089498831803906,3.687559700835386,3.9456467460914046,0.7917210738606736,1,0.0,,495.6438913538841,0.0,1.52587890625e-05,0.006182351044627443,-0.5574647531150405,5HidKLut...,994464.1687011719,,,ENTRY_REPEATED,True,7840965,0.5350352507248035,,,,,,,
5,5,55,17,6,Numinous,2026-07-12,8605411,0.003421336,0.003459769068285823,-0.011108564625923092,IN BAND,False,False,0.000531328,8994.797910564,2647131.56110266,1.0,2629030.182429109,664970.589206997,-0.00402388,23882.498747578822,ACCUMULATING_PRE_EMA,0.0,,,,0.15523750482043303,-3.693645323274044,-0.13515420294873096,-1.3979411614800754,2.1605499588452375,2.2957041617939686,0.9927727199570351,-2.1404666569735356,1,0.0,,51.267729952838636,0.0,0.0017700460739433765,0.003397941395408858,-0.0068378564955743236,5CfSg4e2...,37200.83203125,,,ENTRY_REPEATED,False,3219949,0.01930631702319774,,,,,,,
6,4,39,18,74,Gittensor,2026-07-12,8605411,0.005753454,0.005926515441387892,-0.02920121327607033,IN BAND,False,False,0.000964867,7819.942181034,3455005.379181858,1.0,1359173.349105183,331738.904239639,-0.001265889,28633.97041494609,ACCUMULATING_PRE_EMA,0.0,,,,0.3242569340410032,-0.9442999108418231,-0.355281428192189,1.5369260653609056,2.1259445480105397,2.4812259762027287,0.7606355740674151,-2.1569690421617254,1,0.0,,312.3682264206727,0.0,0.00042723678052425385,0.00226336613776438,-0.606607415690752,5D1VXeeS...,206382.859375,,,ENTRY_REPEATED,False,5086205,0.2085120708163739,,,,,,,
7,68,68,19,58,greevils,2026-07-12,8605411,0.021079615,0.01857020636089146,0.1351308967892414,IN BAND,False,True,0.0,1577.001057934,114326.473905761,1.0,74811.660290478,11863.25107297,,-1126.3723744016752,,,,,,,-10.185070499879485,1.6440925776024369,-10.185070499879485,1.6440925776024369,,22.986801833547787,28.65253317305442,1,0.0,,4.964880126004573,0.0,3.0547380447387695e-05,0.013793839729841731,-0.3456313253424348,5CLUzEqe...,597750.875,2.529219474530191,BUYBACK_GAMING,,True,8511017,0.0,,,,,,,
8,6,48,20,55,NIOME,2026-07-12,8605411,0.004292626,0.004268672550097108,0.005611451715205259,IN BAND,False,False,0.000698653,8202.734526924,3079054.149138092,1.0,1910889.220725254,513821.419039852,-0.002858824,19782.121644967003,ACCUMULATING_PRE_EMA,0.0,,,,0.22383512205270858,7.757323653932517,0.06827266253499731,9.327951203940644,1.6389002125431245,1.5706275500081273,0.8535088610687948,-1.3467924279554186,1,0.0,,0.0,0.0,9.158626198768616e-05,0.0026640436087232047,-0.3793907019332211,5GeWUxaF...,1208312.0,,,,False,4703386,0.030780265975143717,,,,,,,
9,7,3,21,15,ORO,2026-07-12,8605411,0.035687475,0.035504071274772286,0.005165709695891576,IN BAND,False,False,0.014127926,11199.281634907,1166453.748962679,1.0,313815.463097717,300013.557146356,-0.000919801,2761.673958594387,ACCUMULATING_PRE_EMA,0.0,,,,3.315229560106363,7.1368743897495595,0.06284946796668084,8.362134096265493,1.2881091744826136,1.2252597065159327,2.2529825998991098,2.0899698535904303,1,0.0,,647.6435322579491,0.0,0.000625621760264039,0.009601136474434979,-0.7309662150534612,5GE9r7GM...,216.17808532714844,1.129787640671741e-07,,,False,7366897,0.0,,,,,,,
10,8,15,22,38,ChronoLLM,2026-07-12,8605411,0.014151684,0.01429847301915288,-0.010266062603765844,IN BAND,False,False,0.004584313,4768.366554131,1290667.893878969,1.0,336946.923412442,153127.281115973,-0.001435557,4704.278378589253,ACCUMULATING_PRE_EMA,0.0,,,,2.5265621732798142,0.6610788473840283,-0.1249037616791511,1.8371109704293103,1.0511283613661309,1.176032123045282,2.0361550887438735,1.3505300502345323,1,0.0,,70.13294518211842,0.0,1.5228986740112305e-05,0.0036944953668911432,-0.7389359904523629,5GeWgtBA...,1195746.125,,,,False,7284230,0.7020935645643321,,,,,,,
