combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,63,63,13,58,greevils,2026-07-05,8555084,0.0261966,0.001106256851926446,22.68039570049306,PREMIUM,False,True,0.0,1758.017108584,71768.986101194,1.0,67108.598333354,6058.213214903,,1458.572069413247,,,,,,,366.2206300838932,275.9448143559989,366.2206300838932,275.9448143559989,,36.617488176501894,31.945859145758515,1,0.0,,0.0,0.0,0.0,0.02449549873959767,-0.06493595582641762,5CLUzEqe...,567529.4375,,,,True,8511017,1.0,,,,,,,
2,1,61,14,94,pending...,2026-07-05,8555084,0.002800522,0.002985299564898014,-0.06189582012829805,IN BAND,False,False,0.0001232,1797.114434271,1253260.249928927,1.0,641706.926245249,38558.941010875,-7.2901e-05,27660.80039144063,ACCUMULATING_PRE_EMA,0.0,,,,0.18016081437314663,-9.23901447676029,-0.7530658115609595,-3.2908663962033167,5.195082268996015,5.948148080556974,2.0969307852451515,-5.767987266183828,1,0.0,,0.0,0.0,1.528114080429077e-05,0.001433951515156501,-0.48796991590978367,5EZRCK9o...,932059.75,,,ENTRY_PRE_EMA_PATTERN,False,6962737,1.0,,,,,,,
3,64,64,15,116,Memo,2026-07-05,8555084,0.029524247,0.021696323063224554,0.3607949565446802,PREMIUM,False,True,0.0,3189.070363411,349774.075174663,1.0,108015.295938161,40001.820096538,0.000161424,-27357.18622477456,DISTRIBUTING_PRE_EMA,0.0,,,0.0054675060806800594,,67.68503923935867,4.389671971293609,67.68503923935867,4.389671971293609,,7.513421338295823,40.06116391432879,1,0.0,,0.0,0.0,0.0,0.009117514961103128,-0.6911855207991205,5F48aA3P...,313159.0625,0.015824115987673904,,,True,8294730,1.0,,,,,,,
4,2,28,16,28,gm,2026-07-05,8555084,0.01233498,0.012465398060157895,-0.01046240637711673,IN BAND,False,False,0.001380459,16079.985492491,4181396.564084548,1.0,1303608.491294977,6291857.11969349,-0.00184331,51782.44733921089,ACCUMULATING_PRE_EMA,0.0,,,,0.22561253265397063,-9.275928410620494,-0.1272926109215869,-5.266801415346532,3.8818343843523753,4.009126995273962,0.6284981488177407,-3.7835144626199915,1,0.0,,20.807980451673757,0.0,4.5754946768283844e-05,0.003845601641950807,-0.6882360861589717,5CA6rwAy...,1098067.75,,,ENTRY_PRE_EMA_PATTERN,False,4878363,0.9868613812260314,,,,,,,
5,3,46,17,123,MANTIS,2026-07-05,8555084,0.00358265,0.0036249004770070314,-0.01165562400265295,IN BAND,False,False,0.000723564,6915.022750514,1882670.710238246,1.0,1930141.353755704,526371.421789684,-0.002611595,26205.805855221115,ACCUMULATING_PRE_EMA,0.0,,,,0.2749848063563721,-1.2919493067875896,-0.14181009203227757,2.3458733053258225,3.496012520081134,3.637822612113412,1.39588935319838,-3.3628378057570396,1,0.0,,0.0,0.0,0.0018615943845361471,0.003672985781798733,0.02521479402083177,5HVuEdEG...,1905559.25,,,,False,5794330,0.5078654101315085,,,,,,,
6,4,48,2,61,RedTeam,2026-07-05,8555084,0.004644683,0.0047370619140565395,-0.0195013102493802,IN BAND,False,False,0.000696102,8427.503099306,3659037.283773025,1.0,1814440.617236592,412269.919952212,0.001606769,38739.56348305871,,0.0,,0.3459372792502739,0.3459372792502739,0.21706975772582582,1.0864329603954328,-0.2372659413674591,4.312959277843599,2.9892603760807073,3.226526317448166,0.7182217059264647,-3.00945655972234,1,0.0,,0.0,0.0,0.00028993329033255577,0.0023032023031522545,-0.5041206680515646,5ECEsYL8...,,,,,False,4457976,0.7784663250914741,,,,,,,
7,7,1,18,40,Ralph,2026-07-05,8555084,0.044318976,0.04218704788945615,0.05053513381951252,IN BAND,False,False,0.032417228,5037.340788541,240580.70954567,1.0,113661.035896513,58900.469874961,-1.855e-06,3055.22569907055,ACCUMULATING_PRE_EMA,0.0,,,,16.91219211886494,13.902295287836841,0.6148441281374023,15.92545258948299,2.6380014297835515,2.0231573016461493,10.923569079843954,14.889034817218791,1,0.0,,0.0,0.0,0.0,0.020938257261165612,-0.5275554818512591,5HeKCDfd...,646538.6875,0.0,,,True,8409860,0.0,,,,,,,
8,6,33,19,93,Bitcast,2026-07-05,8555084,0.010790553,0.01097375270910561,-0.016694353696671053,IN BAND,False,False,0.001234937,17065.881935034,2923305.725305566,1.0,1581557.644245893,870926.05850548,-0.003371679,25356.07538426295,ACCUMULATING_PRE_EMA,0.0,,,,0.1901697461844965,-5.114088190085861,-0.20311463664283114,-2.786967755412981,2.1240057980300486,2.3271204346728798,0.8989822642396739,-2.1369506884883833,1,0.0,,0.0,0.0,1.5245750546455383e-05,0.0058378710742784685,-0.4589831425434388,5EbY1Seb...,1479541.375,,,ENTRY_REPEATED,False,5370681,0.9718161566466879,,,,,,,
9,5,41,20,74,Gittensor,2026-07-05,8555084,0.00585957,0.006045638816431165,-0.03077736234018101,IN BAND,False,False,0.00098797,7841.0702803,3419818.904324759,1.0,1338164.778063396,324542.273978409,-0.001265889,27162.637835431146,ACCUMULATING_PRE_EMA,0.0,,,,0.3311263726998072,0.5958197740141223,-0.3744579084722023,2.9486320020598176,1.978354319573493,2.3528122280456953,0.7684617441808361,-2.021685855345888,1,0.0,,298.65127950377246,0.0,0.00044251419603824615,0.0022928320182054244,-0.6087030245896159,5D1VXeeS...,197375.828125,,,,False,5086205,0.1956156697152206,,,,,,,
10,8,37,21,41,Almanac,2026-07-05,8555084,0.006603322,0.006646942812949419,-0.006562537722520789,IN BAND,False,False,0.001038448,14225.835756937,3016551.825756676,1.0,2154345.125604842,1569988.18347061,-0.002647854,22892.994847486727,ACCUMULATING_PRE_EMA,0.0,,,,0.1918369782013845,-2.460356396603145,-0.07984420895733627,-0.5184436934688326,1.862068494176976,1.9419127031343124,0.8711933862899203,-1.750075724932928,1,0.0,,0.0,0.0,0.00036622188054025173,0.004715926189455927,-0.2858251968545639,5FCSevLk...,40488.40234375,,,ENTRY_PRE_EMA_PATTERN,False,3394182,0.5051212643256857,,,,,,,
