hotkey,uid,invocation_share,emission_share,delta_inv_emit,weight_share,chute_diversity,avg_tps,pass_rate
5Cw4iiyjvNb31kw9dT6Zb2ofZTiWy3zhw5sfqLaLjPfTMm1H,16,0.308714251497006,0.18407716593895682,-0.12463708555804917,0.17950111640131883,21,14.994450917328244,
5CSa1rZAzh8Nf9nT9wMBghE6DPzTFoEdWZaRXD6mdVBkVJhw,207,0.196822125748503,0.3199829122801579,0.12316078653165491,0.3353159476737802,84,16.41449706577307,1.0
5GmdiSWwzRi91v8WsCw9x4Cn4sYUxXCPAJm9M9cUdM8qiHr2,65,0.13614434131736528,0.04446242127425667,-0.0916819200431086,0.04355913384732794,6,14.346869650359352,
5CSng9xqwnpdDjMvYM6sSdUkGX599cj5Xo3sqKNpUatgRXkr,14,0.04133176646706587,0.09829659769262555,0.05696483122555968,0.09624233445754074,46,20.42677465887421,1.0
5CMUxZ9EQpRsxtuFE3f8vcUoXheZMWnHex4WQ2dJCzxwMHaM,51,0.04321733532934132,0.0811404840433593,0.03792314871401798,0.07948431035996022,8,13.911787076923456,
5ELeMbDhduEDnrZXPscMhrVjz81Ugv2XycgnXkoqKM3nS7Nu,106,0.06879625748502995,0.03986812298762753,-0.02892813449740242,0.03264386581458331,198,21.241864793757948,1.0
5EPhV7FDS1PEHUbBaieZdwsbvusWbxZP3G56Ubnm25Nfw1JR,177,0.009595479041916167,0.03390011678774046,0.024304637745824288,0.035805526944177574,10,17.008679204023522,
5EHeZX7U2LjtN5HykktKwP6C47qvapS22MZoHLaJHT5Zaim2,27,0.05401245508982036,0.03393064321621612,-0.020081811873604243,0.037986770063835405,4,10.582592761903742,
5CXtLcdfx14eBZbZvpqXjPPrknw2rgwwGBnHZcZJr34wJdfu,254,0.004234131736526946,0.023475181229364716,0.01924104949283777,0.0229735043115171,9,17.141935483870842,
5ECA8dQkwJMd4jKTSZHXS19SRZ8N1wQyiXFbr7o2Dy3Rjmzy,125,0.059459071856287425,0.04060076845015531,-0.018858303406132114,0.039744910268727424,13,15.895350308500818,
5Fpw5S6drw26vujZVoCwjQWfmgv6Vp82Jqj2Fxw3dGaZsrGt,54,0.04089535928143712,0.02695524810796435,-0.013940111173472772,0.024194795794789968,126,30.305924015279494,1.0
5FEqkBXYvYxWA4yvGBMPuAcXA8Egj44KbtQkyzFRRMe3zir5,145,0.010304670658682635,0.02181146665603204,0.011506795997349405,0.021378701510930027,10,15.430431046066749,
5DqYBeL7wHUeiBqFneZ9vx4EHjyQ1QuTy8ck7YSBvY8QLGHF,162,0.002450958083832335,0.011356004669180637,0.008905046585348303,0.011139610973597197,5,15.512187507608264,
5Ca55hmJgpq3xsPgp3CC741PncPnKLzQQExuSqzvQR58MfQr,157,0.0007755988023952096,0.007005922468320091,0.0062303236659248815,0.006858203060273863,5,30.62066452486917,
5HYoY2cdf5SXYb6jLQxsWkFS9AUC2h4nSZzMLv9fAiCcsWN5,95,0.0006986826347305389,0.006563282268478056,0.005864599633747517,0.006442971827643223,2,30.875995749978678,
5EAZ2NmDV5Pvz9CwFpRR2p8eXeAmoiX9CcGia31gHKG8AVW9,41,0.003051556886227545,0.008349105816287694,0.00529754893006015,0.008098386580671163,9,31.136233193545632,
5H3jwy83dHMDB1Kuoz5h4LGrHm1o2VonvW7hrigjbkZoJiGD,118,0.0038800898203592816,0.0,-0.0038800898203592816,0.0,15,24.975002320314807,1.0
5FmzcxcWYJk9aD12DC7GHEGCjWrUShFRUcJgub2foPPeoaFp,29,0.00017035928143712575,0.0031595335571510644,0.0029891742757139385,0.003102229929473664,1,66.22136921439989,
5DG2ZXtBc7hf8cyoxm1NhshJfgYa124zMjX8gFDgxJmNM3dV,121,0.00030281437125748503,0.00317479700428706,0.002871982633029575,0.003106559354648012,4,29.37333611025404,
5EL4D2tMQJPLLkA6YhkhsZbG1TXMqP3dBzBKSAbCHwS1drvU,114,0.00032266467065868263,0.002732157037343191,0.0024094923666845083,0.0026181214781602147,3,39.2572894122044,
5CUQK1orC4gBwCwV36AtSvHX4ZDJzqF2ibeWmw69usiG277u,34,0.006723233532934132,0.004319555772384887,-0.002403677760549245,0.004866273895967062,56,16.08255867169344,1.0
5HDsWR4P3K6iVzb2Le7bNG1t7KCS52RBn3qPqABgrwYmMbrM,153,0.0015411377245508982,0.0002289517070399322,-0.001312186017510966,0.0002200135156782261,6,34.64744189377524,
5EJ4p2AAD436S2R9SMya4pzRuREJg1bzme1firC9su541mSy,221,0.0015238023952095809,0.00025947860131192316,-0.0012643237938976576,0.00034477967752079796,11,70.83055725190837,
5DkMfiGB2tdHG2CEFQo7LXhe5oFppEYErTbsdW3VQRbSGD6c,188,0.00258685628742515,0.0014500274779195705,-0.0011368288095055794,0.0014220193777199123,8,18.40803550149266,1.0
5FQysh6C2MbQL3tgnbpy8z66S8FZosir63Htfx7UcD5ALDHG,158,0.0009505988023952096,3.052689427199096e-05,-0.0009200719081232186,4.171991531644359e-05,4,0.0,
5FtCwbG8Ztg4v2fySUphcD6BsHFkbvQ2A1jZrRVoUk2jNpif,109,0.00010517964071856287,0.0009158068281597287,0.0008106271874411658,0.0008981589316238139,6,39.24568792643131,
5EWgbrkxRAxuM9yCkJ6QjudLEcwkGBP3ewTyManGz7k8qayV,111,0.00011050898203592814,0.0004884303083518553,0.00037792132631592716,0.000484895619526967,4,72.51441153277466,
5Gx9ChZyG3xcDit93WEensffAABGXRgX74KMH3XkyW8baxF4,62,0.0001662874251497006,0.000381586178399887,0.0002152987532501864,0.0003691818921398499,11,54.408564709406825,
5FUHfMe6n6A3AM8hNDhhMAsr7SWE8ftt2iHotWqJutEDUoH8,128,4.715568862275449e-05,0.0002289517070399322,0.0001817960184171777,0.00022473652495933293,3,0.0,
5GncYN5L6Z5ePnwkUY8SYPNHg2hQ81YVJ4T7J7BQaiU4tZJq,70,0.00016853293413173653,0.0,-0.00016853293413173653,3.935841067589018e-07,1,0.0,
5Df4T8mL2MhRkYNTAKpzwceGWigUWNrKDMqe9Uc8CWG9FBez,103,0.00013604790419161677,0.0,-0.00013604790419161677,0.0,4,16.413216114457825,1.0
5HRBa18KUVcPJLvoAPCGZE1DwrjyVFjtd3KWXARhYAp1xGSv,92,3.9431137724550896e-05,0.00016789791849595027,0.00012846678077139937,0.00016491174073197986,2,0.0,
5GE6WGGGFS1m5htA5MJ7vWwF1XzQBJmudLuRTmCdCWosGq4j,26,6.239520958083832e-05,0.0,-6.239520958083832e-05,0.0,6,32.11358304064225,
5G4MNptjsxfj8XGpgCZ8Jt6yBhzbo8qmNdUCWFQ6zUVf25zJ,13,7.110778443113773e-05,3.052689427199096e-05,-4.058089015914677e-05,4.171991531644359e-05,10,66.05982352941176,
5EWrz88b7uRthFVNqSvHxkZ19zso2eVEYP8tF92rFG6wCN5W,212,0.00019020958083832334,0.00021368825990393672,2.3478679065613373e-05,0.00020112147855379882,14,75.37616981132076,
5DtbvembQVBN4M7R9NQogkRfte8PYMqZjUJei855UiPbaLoU,135,0.00035095808383233534,0.0003663227312638915,1.5364647431556145e-05,0.0003715433967804033,1,35.68645176778708,
5CCzhyifft3ei1Z5Z7xF8RnUZZXg2JoJTfxfrqpyRRCLGxov,66,1.317365269461078e-06,1.526344713599548e-05,1.39460818665344e-05,2.6763719259605323e-05,2,0.0,
5EZLVAwrib5jhwoXMHtmZYAfthpLfbWTx3RrUu77Evda5BEZ,181,2.095808383233533e-06,1.526344713599548e-05,1.3167638752761946e-05,2.7157303366364223e-05,2,0.0,
5EYwugTFZT5wLdwPKy4Cjyp4cshbWn4SYsrcEPsHEcfS8pcQ,68,1.8562874251497005e-05,3.052689427199096e-05,1.1964020020493953e-05,4.211349942320249e-05,1,57.91410161290323,
5DxzSd5rF9RmrPxYqejbCB1CnLsGhtsParMspEDQiypsiQ3h,240,7.634730538922155e-06,0.0,-7.634730538922155e-06,1.2988275523043759e-05,2,0.0,
