hotkey,uid,invocation_share,emission_share,delta_inv_emit,weight_share,chute_diversity,avg_tps,pass_rate
5Cw4iiyjvNb31kw9dT6Zb2ofZTiWy3zhw5sfqLaLjPfTMm1H,16,0.3258846835443038,0.18307816415206962,-0.14280651939223415,0.1794340199525792,18,16.437222440900843,
5CSa1rZAzh8Nf9nT9wMBghE6DPzTFoEdWZaRXD6mdVBkVJhw,207,0.19486803797468355,0.3232335480975289,0.12836551012284536,0.33785228016730123,107,17.361976566894935,1.0
5GmdiSWwzRi91v8WsCw9x4Cn4sYUxXCPAJm9M9cUdM8qiHr2,65,0.12149291139240506,0.04559400603451231,-0.07589890535789276,0.04478365406540642,4,15.885904673886234,
5CMUxZ9EQpRsxtuFE3f8vcUoXheZMWnHex4WQ2dJCzxwMHaM,51,0.028609303797468354,0.08770778765404036,0.059098483856572,0.0862675225514429,9,18.584501224577323,
5CSng9xqwnpdDjMvYM6sSdUkGX599cj5Xo3sqKNpUatgRXkr,14,0.0450398417721519,0.08898997128146037,0.04395012950930847,0.08746870636587765,46,21.995991003663658,
5ECA8dQkwJMd4jKTSZHXS19SRZ8N1wQyiXFbr7o2Dy3Rjmzy,125,0.07301465189873417,0.04043472506542899,-0.03257992683330518,0.03978341414589248,12,16.70851386701224,
5ELeMbDhduEDnrZXPscMhrVjz81Ugv2XycgnXkoqKM3nS7Nu,106,0.06266661392405064,0.031993650554888925,-0.030672963369161713,0.024379391667218548,189,21.293883098466903,1.0
5EPhV7FDS1PEHUbBaieZdwsbvusWbxZP3G56Ubnm25Nfw1JR,177,0.010603575949367089,0.032146293414912964,0.021542717465545876,0.03428469682302942,10,17.20744878669396,
5CXtLcdfx14eBZbZvpqXjPPrknw2rgwwGBnHZcZJr34wJdfu,254,0.0032839556962025317,0.02431578475465703,0.0210318290584545,0.023932863778458716,7,18.85808098527038,
5EHeZX7U2LjtN5HykktKwP6C47qvapS22MZoHLaJHT5Zaim2,27,0.05324490506329114,0.03326057399550201,-0.01998433106778913,0.037513497951166666,5,9.697886573298877,
5Fpw5S6drw26vujZVoCwjQWfmgv6Vp82Jqj2Fxw3dGaZsrGt,54,0.043747215189873415,0.027154915492660615,-0.0165922996972128,0.02274040430998553,118,28.39453510873403,1.0
5FEqkBXYvYxWA4yvGBMPuAcXA8Egj44KbtQkyzFRRMe3zir5,145,0.010063037974683544,0.02135454084659662,0.011291502871913077,0.020897981067376142,10,15.642175857984904,
5DqYBeL7wHUeiBqFneZ9vx4EHjyQ1QuTy8ck7YSBvY8QLGHF,162,0.0035705379746835443,0.013234015037817563,0.009663477063134019,0.013048449069052802,7,14.426784687664384,
5Ca55hmJgpq3xsPgp3CC741PncPnKLzQQExuSqzvQR58MfQr,157,0.0010427848101265823,0.009082167255885412,0.00803938244575883,0.008957920496621497,3,30.537373578249348,
5HYoY2cdf5SXYb6jLQxsWkFS9AUC2h4nSZzMLv9fAiCcsWN5,95,0.0007568987341772152,0.0063193565504408465,0.005562457816263631,0.006234734873074646,3,30.722787947364033,
5EAZ2NmDV5Pvz9CwFpRR2p8eXeAmoiX9CcGia31gHKG8AVW9,41,0.0022904113924050633,0.007784714591122782,0.005494303198717718,0.0076528376530081745,5,35.77752786976128,
5DG2ZXtBc7hf8cyoxm1NhshJfgYa124zMjX8gFDgxJmNM3dV,121,0.0005367088607594936,0.005235602399095332,0.004698893538335839,0.0051608471974426565,2,29.77408346149309,
5H3jwy83dHMDB1Kuoz5h4LGrHm1o2VonvW7hrigjbkZoJiGD,118,0.0035250632911392405,0.0,-0.0035250632911392405,0.0,13,25.435915236070837,1.0
5DU9EKEVhj8jrcFGNJ2zN2CZKTWFmLAR7UmB1R9Q1e4BFd8s,182,0.00038259493670886075,0.003678659247961942,0.0032960643112530815,0.003653914713173247,1,30.69035338905896,
5FmzcxcWYJk9aD12DC7GHEGCjWrUShFRUcJgub2foPPeoaFp,29,0.00020768987341772153,0.003113885836449113,0.0029061959630313915,0.003082470052691084,1,65.48810397788377,
5EL4D2tMQJPLLkA6YhkhsZbG1TXMqP3dBzBKSAbCHwS1drvU,114,0.0007227848101265823,0.003098621690192009,0.002375836880065427,0.003031710221642009,3,38.831643306497824,
5CUQK1orC4gBwCwV36AtSvHX4ZDJzqF2ibeWmw69usiG277u,34,0.0056965506329113924,0.0038770931493042875,-0.001819457483607105,0.004373673255001926,37,18.32393008265239,1.0
5HDsWR4P3K6iVzb2Le7bNG1t7KCS52RBn3qPqABgrwYmMbrM,153,0.001995284810126582,0.00030528292514206987,-0.0016900018849845123,0.00030217961921402367,8,33.624572434571284,
5FtCwbG8Ztg4v2fySUphcD6BsHFkbvQ2A1jZrRVoUk2jNpif,109,0.00013639240506329114,0.001480622186939039,0.0013442297818757477,0.001477586956944163,7,38.29569509650482,
5EJ4p2AAD436S2R9SMya4pzRuREJg1bzme1firC9su541mSy,221,0.0015748417721518986,0.0002442263401136559,-0.0013306154320382427,0.00033668044188019173,12,64.8829306930693,
